"Election.to.the.Bihar.Legislative.Assembly.from.the.230..Konch.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"
"275"	"169"	"25"	""	""	""	"1"	""	""	"24"	""	""	""	"179"	""	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"6"	""	""	""	""	"103"	""	""	""	""	""	"17"	""	""	""	""	""	""	"386"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"170"	"82"	""	""	""	"6"	""	""	"6"	""	""	""	"103"	""	""	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	"23"	""	""	""	""	""	"2"	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"171"	"120"	""	""	""	"7"	""	""	"5"	""	""	""	"37"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	"49"	""	""	""	""	""	"8"	""	""	""	""	""	""	"233"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"233"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"172"	"128"	""	""	""	"0"	""	""	"17"	""	""	""	"109"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	"576"	""	""	""	""	""	"2"	""	""	""	""	""	""	"839"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"839"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"173"	"6"	""	""	""	"0"	""	""	"2"	""	""	""	"42"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	"634"	""	""	""	""	""	"1"	""	""	""	""	""	""	"690"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"690"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"174"	"6"	""	""	""	"17"	""	""	"4"	""	""	""	"162"	""	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"110"	""	""	""	""	""	"0"	""	""	""	""	""	""	"311"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"311"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"175"	"144"	""	""	""	"0"	""	""	"95"	""	""	""	"114"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	"142"	""	""	""	""	""	"0"	""	""	""	""	""	""	"497"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"497"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"176"	"174"	""	""	""	"4"	""	""	"6"	""	""	""	"137"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	"220"	""	""	""	""	""	"2"	""	""	""	""	""	""	"549"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"549"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"177"	"3"	""	""	""	"0"	""	""	"2"	""	""	""	"380"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"386"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"386"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"178"	"122"	""	""	""	"0"	""	""	"4"	""	""	""	"133"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"16"	""	""	""	""	""	"0"	""	""	""	""	""	""	"275"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"275"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"179"	"49"	""	""	""	"7"	""	""	"29"	""	""	""	"463"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	""	""	"563"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"563"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"180"	"104"	""	""	""	"2"	""	""	"18"	""	""	""	"135"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	"13"	""	""	""	""	""	"1"	""	""	""	""	""	""	"279"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"279"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"181"	"47"	""	""	""	"63"	""	""	"122"	""	""	""	"205"	""	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"14"	""	""	""	""	"126"	""	""	""	""	""	"22"	""	""	""	""	""	""	"660"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"660"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Total"	"1023"	""	""	""	"107"	""	""	"370"	""	""	""	"2802"	""	""	""	""	""	"32"	""	""	""	""	"19"	""	""	""	""	""	"63"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"29"	""	""	""	""	"2026"	""	""	""	""	""	"56"	""	""	""	""	""	""	"6574"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6574"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""
"290"	"of"	""	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""
"291"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"292"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""
"294"	"182"	""	"182"	""	""	"10"	""	""	""	"6"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"22"	""	""	""	""	"7"	""	""	""	""	""	""	""	"235"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"235"	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"183"	""	"18"	""	""	"31"	""	""	""	"173"	""	""	""	"537"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"31"	""	""	""	""	"2"	""	""	""	""	""	""	""	"801"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"801"	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"184"	""	"10"	""	""	"2"	""	""	""	"106"	""	""	""	"168"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"57"	""	""	""	""	"0"	""	""	""	""	""	""	""	"350"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"350"	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"185"	""	"36"	""	""	"1"	""	""	""	"10"	""	""	""	"79"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"17"	""	""	""	""	"3"	""	""	""	""	""	""	""	"154"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"154"	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"186"	""	"84"	""	""	"11"	""	""	""	"11"	""	""	""	"134"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	"47"	""	""	""	""	"4"	""	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"187"	""	"5"	""	""	"2"	""	""	""	"5"	""	""	""	"224"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"237"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"237"	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"188"	""	"29"	""	""	"2"	""	""	""	"4"	""	""	""	"470"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"506"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"506"	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"189"	""	"10"	""	""	"3"	""	""	""	"26"	""	""	""	"121"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"169"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"169"	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"190"	""	"5"	""	""	"3"	""	""	""	"37"	""	""	""	"357"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"8"	""	""	""	""	"3"	""	""	""	""	""	""	""	"422"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"422"	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"191"	""	"6"	""	""	"1"	""	""	""	"27"	""	""	""	"229"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"18"	""	""	""	""	"1"	""	""	""	""	""	""	""	"284"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"284"	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"192"	""	"89"	""	""	"4"	""	""	""	"0"	""	""	""	"57"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	""	""	"170"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"170"	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"193"	""	"10"	""	""	"1"	""	""	""	"33"	""	""	""	"170"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"9"	""	""	""	""	"0"	""	""	""	""	""	""	""	"226"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"226"	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"194"	""	"186"	""	""	"63"	""	""	""	"5"	""	""	""	"59"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	"12"	""	""	""	""	"1"	""	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"195"	""	"275"	""	""	"59"	""	""	""	"28"	""	""	""	"197"	""	""	""	""	""	"13"	""	""	""	""	"4"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	"30"	""	""	""	""	"11"	""	""	""	""	""	""	""	"643"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"643"	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"Total"	""	"945"	""	""	"193"	""	""	""	"471"	""	""	""	"2803"	""	""	""	""	""	"39"	""	""	""	""	"9"	""	""	""	""	""	""	"55"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"7"	""	""	""	""	""	"256"	""	""	""	""	"34"	""	""	""	""	""	""	""	"4841"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4841"	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""
"310"	"of"	""	"MAHESH SINGH YADAV"	""	""	"RAJESH KUMAR ALIAS MUNNA RAJ"	""	""	""	"LALITA SINGH"	""	""	""	""	"DR. ANIL KUMAR"	""	""	""	""	"JAGDISH YADAV"	""	""	""	""	""	"JITENDRA YADAV"	""	""	""	""	""	""	"MD. NAUSHAD ALAM"	""	""	""	""	""	""	"BHOLA PASWAN"	""	""	""	""	""	""	"RAJENDRA YADAV"	""	""	""	""	""	""	""	"BAGESH SHARMA"	""	""	""	""	"SHEO BACHAN YADAV"	""	""	""	""	""	"SANJAY KUMAR"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of"	""	""	""	""	""	""
"311"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""
"312"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""
"313"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""
"314"	"196"	""	"307"	""	""	"10"	""	""	""	"2"	""	""	""	""	"31"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	"14"	""	""	""	""	""	"9"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"197"	""	"439"	""	""	"60"	""	""	""	"20"	""	""	""	""	"31"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	"26"	""	""	""	""	""	"9"	""	""	""	""	""	""	"598"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"598"	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"198"	""	"220"	""	""	"12"	""	""	""	"4"	""	""	""	""	"211"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"2"	""	""	""	""	"127"	""	""	""	""	""	"19"	""	""	""	""	""	""	"611"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"611"	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"199"	""	"228"	""	""	"30"	""	""	""	"10"	""	""	""	""	"213"	""	""	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"2"	""	""	""	""	"34"	""	""	""	""	""	"17"	""	""	""	""	""	""	"571"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"571"	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"200"	""	"115"	""	""	"3"	""	""	""	"1"	""	""	""	""	"159"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"279"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"279"	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"201"	""	"127"	""	""	"23"	""	""	""	"77"	""	""	""	""	"154"	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"1"	""	""	""	""	"46"	""	""	""	""	""	"8"	""	""	""	""	""	""	"473"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"473"	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"202"	""	"52"	""	""	"29"	""	""	""	"170"	""	""	""	""	"135"	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"4"	""	""	""	""	"66"	""	""	""	""	""	"10"	""	""	""	""	""	""	"504"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"504"	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"203"	""	"147"	""	""	"10"	""	""	""	"63"	""	""	""	""	"288"	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"3"	""	""	""	""	"34"	""	""	""	""	""	"4"	""	""	""	""	""	""	"575"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"575"	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"204"	""	"82"	""	""	"30"	""	""	""	"110"	""	""	""	""	"62"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	""	"306"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"306"	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"205"	""	"137"	""	""	"16"	""	""	""	"81"	""	""	""	""	"150"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	""	""	"415"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"415"	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"206"	""	"37"	""	""	"76"	""	""	""	"17"	""	""	""	""	"91"	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"207"	""	"51"	""	""	"7"	""	""	""	"25"	""	""	""	""	"746"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	"15"	""	""	""	""	""	"0"	""	""	""	""	""	""	"851"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"851"	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"208"	""	"32"	""	""	"79"	""	""	""	"21"	""	""	""	""	"46"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	"87"	""	""	""	""	""	"0"	""	""	""	""	""	""	"270"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"270"	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"209"	""	"199"	""	""	"34"	""	""	""	"31"	""	""	""	""	"86"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	"95"	""	""	""	""	""	"5"	""	""	""	""	""	""	"458"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"458"	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Total"	""	"2173"	""	""	"419"	""	""	""	"632"	""	""	""	""	"2403"	""	""	""	""	"45"	""	""	""	""	""	"21"	""	""	""	""	""	""	"83"	""	""	""	""	""	""	"35"	""	""	""	""	""	""	"55"	""	""	""	""	""	""	""	"26"	""	""	""	""	"565"	""	""	""	""	""	"90"	""	""	""	""	""	""	"6547"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6547"	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""
