"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"
"241"	"141"	""	"184"	""	""	"3"	""	""	""	"5"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	"2"	""	""	""	""	""	"291"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"502"	""	""	""	""	""	""	"0"	""	""	""	""	""	"502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"142"	""	"102"	""	""	"221"	""	""	""	"23"	""	""	""	"9"	""	""	""	""	""	"10"	""	""	"4"	""	""	""	""	""	"289"	""	""	""	""	""	""	"10"	""	""	""	""	""	"6"	""	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"687"	""	""	""	""	""	""	"0"	""	""	""	""	""	"687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"143"	""	"419"	""	""	"6"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"36"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"481"	""	""	""	""	""	""	"0"	""	""	""	""	""	"481"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"144"	""	"311"	""	""	"13"	""	""	""	"13"	""	""	""	"3"	""	""	""	""	""	"15"	""	""	"2"	""	""	""	""	""	"42"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"433"	""	""	""	""	""	""	"0"	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"145"	""	"109"	""	""	"5"	""	""	""	"6"	""	""	""	"3"	""	""	""	""	""	"16"	""	""	"10"	""	""	""	""	""	"141"	""	""	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"8"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"335"	""	""	""	""	""	""	"0"	""	""	""	""	""	"335"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"146"	""	"5"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"5"	""	""	""	""	""	"526"	""	""	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"548"	""	""	""	""	""	""	"0"	""	""	""	""	""	"548"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"147"	""	"27"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"190"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"221"	""	""	""	""	""	""	"0"	""	""	""	""	""	"221"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"148"	""	"354"	""	""	"105"	""	""	""	"11"	""	""	""	"6"	""	""	""	""	""	"11"	""	""	"1"	""	""	""	""	""	"25"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"24"	""	""	""	""	""	""	"554"	""	""	""	""	""	""	"0"	""	""	""	""	""	"554"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"149"	""	"10"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	"0"	""	""	""	""	""	"507"	""	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"531"	""	""	""	""	""	""	"0"	""	""	""	""	""	"531"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"150"	""	"47"	""	""	"210"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	""	"32"	""	""	"2"	""	""	""	""	""	"80"	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"148"	""	""	""	""	""	""	"542"	""	""	""	""	""	""	"0"	""	""	""	""	""	"542"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"151"	""	"8"	""	""	"0"	""	""	""	"12"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	"2"	""	""	""	""	""	"63"	""	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"106"	""	""	""	""	""	""	"0"	""	""	""	""	""	"106"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"152"	""	"36"	""	""	"15"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"1"	""	""	""	""	""	"311"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	"715"	""	""	""	""	""	""	"0"	""	""	""	""	""	"715"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"153"	""	"87"	""	""	"138"	""	""	""	"7"	""	""	""	"1"	""	""	""	""	""	"14"	""	""	"3"	""	""	""	""	""	"103"	""	""	""	""	""	""	"9"	""	""	""	""	""	"7"	""	""	""	""	""	""	"5"	""	""	""	""	"8"	""	""	""	""	""	"14"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"52"	""	""	""	""	""	""	"459"	""	""	""	""	""	""	"0"	""	""	""	""	""	"459"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Total"	""	"1786"	""	""	"726"	""	""	""	"89"	""	""	""	"33"	""	""	""	""	""	"109"	""	""	"38"	""	""	""	""	""	"2798"	""	""	""	""	""	""	"55"	""	""	""	""	""	"36"	""	""	""	""	""	""	"21"	""	""	""	""	"37"	""	""	""	""	""	"38"	""	""	""	""	""	""	"50"	""	""	""	""	""	""	"629"	""	""	""	""	""	""	"6445"	""	""	""	""	""	""	"0"	""	""	""	""	""	"6445"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""
"256"	"of"	"DR. BINOD KUMAR YADVENDU"	""	""	""	"DR. RAM KUMAR MEHTA"	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""	""
"257"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"258"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"1"	"2"	""	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""
"260"	"168"	"199"	""	""	""	"102"	""	""	"4"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"263"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	"580"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"580"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"169"	"28"	""	""	""	"6"	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	"28"	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	""	"81"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"81"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"170"	"146"	""	""	""	"8"	""	""	"5"	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"30"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"206"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"206"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"171"	"0"	""	""	""	"2"	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"168"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"172"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"172"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"172"	"145"	""	""	""	"35"	""	""	"4"	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	"10"	""	""	""	""	""	"283"	""	""	""	""	""	""	"13"	""	""	""	""	""	"7"	""	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	""	""	"5"	""	""	""	""	""	"20"	""	""	""	""	""	""	"545"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"545"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"173"	"21"	""	""	""	"465"	""	""	"5"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"18"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"510"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"510"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"174"	"78"	""	""	""	"16"	""	""	"41"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	"411"	""	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"561"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"561"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"175"	"45"	""	""	""	"3"	""	""	"7"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"781"	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"840"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"840"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"176"	"214"	""	""	""	"9"	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	""	"58"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"12"	""	""	""	""	""	""	"310"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"177"	"136"	""	""	""	"8"	""	""	"4"	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	"4"	""	""	""	""	""	"179"	""	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	"352"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"178"	"46"	""	""	""	"0"	""	""	"16"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"4"	""	""	""	""	""	"262"	""	""	""	""	""	""	"3"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	"349"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"349"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"179"	"381"	""	""	""	"8"	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"47"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"444"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"444"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"180"	"167"	""	""	""	"11"	""	""	"5"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	"258"	""	""	""	""	""	""	"10"	""	""	""	""	""	"7"	""	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"9"	""	""	""	""	""	""	"483"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"483"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"181"	"72"	""	""	""	"2"	""	""	"8"	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	"5"	""	""	""	""	""	"304"	""	""	""	""	""	""	"9"	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	"12"	""	""	""	""	""	""	"438"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"438"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"Total"	"1678"	""	""	""	"675"	""	""	"106"	""	""	""	"24"	""	""	""	""	""	"19"	""	""	""	"40"	""	""	""	""	""	"3090"	""	""	""	""	""	""	"56"	""	""	""	""	""	"31"	""	""	""	""	""	""	"12"	""	""	""	""	"22"	""	""	""	""	""	"15"	""	""	""	""	""	""	"30"	""	""	""	""	""	"73"	""	""	""	""	""	""	"5871"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5871"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""
"276"	"of"	""	"DR. BINOD KUMAR YADVENDU"	""	""	"DR. RAM KUMAR MEHTA"	""	""	""	"VENNA   RAY"	""	""	""	"JUGAL KISHOR PRASAD"	""	""	""	""	""	"RAM KESHWAR PRASAD YADAV"	""	""	""	"SAROJ  DEVI"	""	""	""	""	""	""	"AWADHESH KUMAR SINGH"	""	""	""	""	""	"ADITYA PASWAN"	""	""	""	""	""	""	"GOPAL SHARAN CHAUDHARY"	""	""	""	""	""	"PURAN CHAUDHARY"	""	""	""	""	""	"MAHAVEER RAM"	""	""	""	""	"MOHAN PRASAD"	""	""	""	""	""	""	""	"RAM ASHISH SINGH"	""	""	""	""	""	"VINOD KUMAR SINGH"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""
"277"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""
"278"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""
"280"	"182"	""	"130"	""	""	"3"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	"90"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"231"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"231"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"183"	""	"136"	""	""	"146"	""	""	""	"18"	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	""	""	"67"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	""	"397"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"397"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"184"	""	"118"	""	""	"41"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	""	""	"145"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	"330"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"185"	""	"111"	""	""	"19"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	"11"	""	""	""	"4"	""	""	""	""	""	""	"204"	""	""	""	""	""	"4"	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	"370"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"370"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"186"	""	"0"	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	"225"	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"246"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"187"	""	"63"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"3"	""	""	""	""	""	""	"423"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	"502"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"188"	""	"1"	""	""	"20"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"646"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"667"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"667"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"189"	""	"103"	""	""	"159"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	""	""	"183"	""	""	""	""	""	"9"	""	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"10"	""	""	""	""	""	""	"488"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"488"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"190"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"642"	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"644"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"644"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"191"	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	"837"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	"841"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"841"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
