"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"
"265"	"Election to the Bihar Legislative Assembly from the 237-Fatehpur (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Round No. ……         12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no."	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"269"	"of"	""	"AJAY PASWAN"	""	""	"JITAN  RAM MANJHI"	""	""	""	""	"VIJAY PRASAD"	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"of votes"	""	""	""	""	""	"of"	""	""	""	""	""	""	""	""
"270"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""
"271"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"272"	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"273"	"155"	""	"4"	""	""	"29"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"825"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"866"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"866"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"156"	""	"7"	""	""	"68"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"544"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"646"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"646"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"157"	""	"620"	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"45"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"699"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"158"	""	"2"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"658"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"661"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"661"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"159"	""	"2"	""	""	"16"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"398"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"18"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"445"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"445"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"160"	""	"0"	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"348"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"354"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"161"	""	"5"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"698"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"710"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"710"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"162"	""	"98"	""	""	"35"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"96"	""	""	""	""	""	"12"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"280"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"163"	""	"13"	""	""	"13"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"433"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"468"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"164"	""	"0"	""	""	"0"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	"650"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"656"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"656"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"165"	""	"10"	""	""	"13"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"567"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"594"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"594"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"166"	""	"117"	""	""	"24"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"329"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"13"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"534"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"534"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"167"	""	"21"	""	""	"56"	""	""	""	""	"25"	""	""	""	""	"10"	""	""	""	""	""	"328"	""	""	""	""	""	"8"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"14"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"490"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"490"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"168"	""	"19"	""	""	"59"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	""	"620"	""	""	""	""	""	"10"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"13"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"768"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"768"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Total"	""	"918"	""	""	"319"	""	""	""	""	"39"	""	""	""	""	"34"	""	""	""	""	""	"6539"	""	""	""	""	""	"45"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"63"	""	""	""	""	""	"64"	""	""	""	""	""	""	""	"40"	""	""	""	""	""	"45"	""	""	""	""	""	""	""	"55"	""	""	""	""	""	""	"8171"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"8171"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Place     Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Date      27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Election to the Bihar Legislative Assembly from the 237-Fatehpur (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Round No. ……           13"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""
"297"	"of"	"AJAY PASWAN"	""	""	""	"JITAN  RAM MANJHI"	""	""	""	"VIJAY PRASAD"	""	""	""	""	"RAJENDRA RAJVANSHI"	""	""	""	""	""	"SHYAMDEO PASWAN"	""	""	""	""	""	"CHANDRA MANJHI"	""	""	""	""	""	""	"DHANANJAY PASWAN"	""	""	""	""	""	""	"NARESH RAM"	""	""	""	""	""	"RAJKUMAR MANJHI"	""	""	""	""	""	""	""	"RAM AADHAR CHAUDHARY"	""	""	""	""	""	"RAM NARESH PRASAD"	""	""	""	""	""	""	"SHIV SHANKAR PRASAD"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""
"298"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""
"299"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"1"	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""
"301"	"169"	"139"	""	""	""	"26"	""	""	""	"4"	""	""	""	""	"8"	""	""	""	""	""	"166"	""	""	""	""	""	"5"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"7"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"389"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"389"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"170"	"17"	""	""	""	"20"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"297"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"10"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"371"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"371"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"171"	"3"	""	""	""	"21"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"378"	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"416"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"416"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"172"	"379"	""	""	""	"29"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	"65"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"506"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"506"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"173"	"94"	""	""	""	"95"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"112"	""	""	""	""	""	"17"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"22"	""	""	""	""	""	"100"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"486"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"486"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	"174"	"440"	""	""	""	"150"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"77"	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"701"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"175"	"147"	""	""	""	"55"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	""	"148"	""	""	""	""	""	"8"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"11"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"395"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"395"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"176"	"464"	""	""	""	"16"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"495"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"495"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"177"	"239"	""	""	""	"10"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"53"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"310"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"178"	"98"	""	""	""	"37"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	"310"	""	""	""	""	""	"5"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"6"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"481"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"481"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"179"	"17"	""	""	""	"23"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	"844"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"901"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"901"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"180"	"183"	""	""	""	"202"	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	""	"22"	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"7"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"431"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"431"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"181"	"117"	""	""	""	"138"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	""	"17"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"288"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"288"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"182"	"3"	""	""	""	"29"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"586"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"621"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"621"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Total"	"2340"	""	""	""	"851"	""	""	""	"41"	""	""	""	""	"27"	""	""	""	""	""	"3080"	""	""	""	""	""	"57"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	"72"	""	""	""	""	""	"146"	""	""	""	""	""	""	""	"58"	""	""	""	""	""	"51"	""	""	""	""	""	""	"47"	""	""	""	""	""	""	"6791"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6791"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Place     Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Date      27-02-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
