"ROUND...I...CUMMULATIVE"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"	"X..129"	"X..130"	"X..131"	"X..132"	"X..133"	"X..134"	"X..135"	"X..136"
"262"	"Total no. of votes record at polling station"	""	""	""	""	""	"2555"	""	""	""	"17311"	""	""	""	"18542"	""	""	""	""	"18070"	""	""	""	"1635"	""	""	""	""	"5507"	""	""	""	""	"1335"	""	""	""	"768"	""	""	""	"939"	""	""	""	"516"	""	""	"2259"	""	""	"1334"	""	""	""	"13887"	""	""	""	"1035"	""	""	""	"748"	""	""	""	""	"2813"	""	""	"973"	""	""	""	"1526"	""	""	""	"1103"	""	""	"1216"	""	""	""	"732"	""	""	""	"359"	""	"373"	""	""	""	"479"	""	""	"4008"	""	""	""	""	"596"	""	""	""	"562"	""	""	""	"2214"	""	""	""	""	"103395"	""	""	""	""	"0"	""	"103395"	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"263"	"Nombers of votes record on postal ballot papers. (To be filled in the case of electon from an assembly constituency)"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	"0"	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"264"	"Total votes polled"	""	""	""	""	""	"2555"	""	""	""	"17311"	""	""	""	"18542"	""	""	""	""	"18070"	""	""	""	"1635"	""	""	""	""	"5507"	""	""	""	""	"1335"	""	""	""	"768"	""	""	""	"939"	""	""	""	"516"	""	""	"2259"	""	""	"1334"	""	""	""	"13887"	""	""	""	"1035"	""	""	""	"748"	""	""	""	""	"2813"	""	""	"973"	""	""	""	"1526"	""	""	""	"1103"	""	""	"1216"	""	""	""	"732"	""	""	""	"359"	""	"373"	""	""	""	"479"	""	""	"4008"	""	""	""	""	"596"	""	""	""	"562"	""	""	""	"2214"	""	""	""	""	"103395"	""	""	""	""	"0"	""	"103395"	""	"0"	""	""	""	""	""	""	""	""	""	""	""
"265"	"Place ----------------------------------------"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Date :-------------------------------------                                                                                                          Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling Station"	""	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	"No. of rejected votes"	""	"TOTAL"	""	""	""	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	""	""	"ABDUL HAMID"	""	"MANSOOR ALAM"	""	""	"MUHAMMAD SAKUR"	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	"DINA YADAV"	""	""	""	""	"PABHAT KUMAR"	""	""	""	"PRAKASH GUPTA"	""	""	""	"PREMNATH JAISWAL"	""	""	""	""	"MOHAMMAD ISRAIL"	""	""	"VIMAL KUMAR MANDAL"	""	""	"SHAMBHU MAHALDAR"	""	""	"SAYOGITA SINGH"	""	""	"SURYANARAYAN SINGH"	""	""	"ARVIND KUMAR SINGH"	""	""	""	""	"KALYAN MITRA"	""	""	"KAILASH PODDAR"	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	"TANWEER"	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	"PARSHURAM PASWAN"	""	""	""	"YAMUNA PRASAD YADAV"	""	""	"RAJESHWAR CHOUDHARY"	""	""	"SAVIRURAHAMAN KHAN"	""	""	""	"SHIV PUJAN PASWAN"	""	""	"SANJAY SINGH"	""	""	""	"SAMSAD"	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"1"	""	""	"23"	""	"141"	""	""	"57"	""	""	""	"89"	""	""	"6"	""	""	""	"5"	""	""	""	""	"12"	""	""	""	"4"	""	""	""	"6"	""	""	""	""	"2"	""	""	"0"	""	""	"15"	""	""	"159"	""	""	"7"	""	""	"6"	""	""	""	""	"16"	""	""	"13"	""	""	""	"4"	""	""	""	"5"	""	""	"1"	""	""	""	"3"	""	""	""	"5"	""	""	"2"	""	""	"1"	""	""	""	"32"	""	""	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"620"	""	""	"0"	""	"620"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"2"	""	""	"6"	""	"80"	""	""	"8"	""	""	""	"137"	""	""	"7"	""	""	""	"17"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"2"	""	""	"7"	""	""	"7"	""	""	"150"	""	""	"12"	""	""	"8"	""	""	""	""	"33"	""	""	"4"	""	""	""	"2"	""	""	""	"7"	""	""	"1"	""	""	""	"3"	""	""	""	"5"	""	""	"0"	""	""	"3"	""	""	""	"23"	""	""	"3"	""	""	""	"0"	""	""	""	"17"	""	""	""	""	"550"	""	""	"0"	""	"550"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"3"	""	""	"2"	""	"28"	""	""	"3"	""	""	""	"274"	""	""	"7"	""	""	""	"25"	""	""	""	""	"3"	""	""	""	"5"	""	""	""	"5"	""	""	""	""	"2"	""	""	"8"	""	""	"14"	""	""	"223"	""	""	"22"	""	""	"4"	""	""	""	""	"12"	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	"2"	""	""	""	"14"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"665"	""	""	"0"	""	"665"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"4"	""	""	"17"	""	"235"	""	""	"21"	""	""	""	"107"	""	""	"2"	""	""	""	"26"	""	""	""	""	"9"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"3"	""	""	"5"	""	""	"8"	""	""	"150"	""	""	"12"	""	""	"5"	""	""	""	""	"23"	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	"0"	""	""	"3"	""	""	""	"11"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"655"	""	""	"0"	""	"655"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"5"	""	""	"4"	""	"43"	""	""	"0"	""	""	""	"50"	""	""	"4"	""	""	""	"6"	""	""	""	""	"288"	""	""	""	"12"	""	""	""	"3"	""	""	""	""	"4"	""	""	"4"	""	""	"2"	""	""	"13"	""	""	"5"	""	""	"4"	""	""	""	""	"6"	""	""	"1"	""	""	""	"4"	""	""	""	"3"	""	""	"3"	""	""	""	"4"	""	""	""	"1"	""	""	"4"	""	""	"3"	""	""	""	"10"	""	""	"2"	""	""	""	"1"	""	""	""	"8"	""	""	""	""	"492"	""	""	"0"	""	"492"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"6"	""	""	"15"	""	"46"	""	""	"5"	""	""	""	"23"	""	""	"3"	""	""	""	"8"	""	""	""	""	"8"	""	""	""	"30"	""	""	""	"3"	""	""	""	""	"3"	""	""	"1"	""	""	"5"	""	""	"193"	""	""	"5"	""	""	"7"	""	""	""	""	"22"	""	""	"5"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"4"	""	""	""	"0"	""	""	"0"	""	""	"3"	""	""	""	"25"	""	""	"1"	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"422"	""	""	"0"	""	"422"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"7"	""	""	"26"	""	"189"	""	""	"8"	""	""	""	"10"	""	""	"0"	""	""	""	"40"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"2"	""	""	""	""	"4"	""	""	"2"	""	""	"2"	""	""	"39"	""	""	"1"	""	""	"2"	""	""	""	""	"8"	""	""	"7"	""	""	""	"27"	""	""	""	"5"	""	""	"3"	""	""	""	"15"	""	""	""	"2"	""	""	"6"	""	""	"5"	""	""	""	"37"	""	""	"4"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"456"	""	""	"0"	""	"456"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"8"	""	""	"61"	""	"218"	""	""	"41"	""	""	""	"67"	""	""	"17"	""	""	""	"21"	""	""	""	""	"9"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"3"	""	""	"4"	""	""	"11"	""	""	"215"	""	""	"7"	""	""	"3"	""	""	""	""	"8"	""	""	"12"	""	""	""	"9"	""	""	""	"6"	""	""	"2"	""	""	""	"3"	""	""	""	"2"	""	""	"1"	""	""	"2"	""	""	""	"46"	""	""	"0"	""	""	""	"1"	""	""	""	"7"	""	""	""	""	"779"	""	""	"0"	""	"779"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"9"	""	""	"11"	""	"51"	""	""	"3"	""	""	""	"122"	""	""	"6"	""	""	""	"15"	""	""	""	""	"12"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"0"	""	""	"3"	""	""	"7"	""	""	"178"	""	""	"9"	""	""	"6"	""	""	""	""	"15"	""	""	"5"	""	""	""	"5"	""	""	""	"1"	""	""	"0"	""	""	""	"3"	""	""	""	"3"	""	""	"1"	""	""	"2"	""	""	""	"25"	""	""	"1"	""	""	""	"1"	""	""	""	"5"	""	""	""	""	"493"	""	""	"0"	""	"493"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"10"	""	""	"9"	""	"145"	""	""	"5"	""	""	""	"44"	""	""	"2"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"2"	""	""	"2"	""	""	"6"	""	""	"76"	""	""	"7"	""	""	"5"	""	""	""	""	"90"	""	""	"12"	""	""	""	"6"	""	""	""	"3"	""	""	"2"	""	""	""	"9"	""	""	""	"0"	""	""	"3"	""	""	"3"	""	""	""	"13"	""	""	"2"	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"465"	""	""	"0"	""	"465"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"11"	""	""	"7"	""	"111"	""	""	"7"	""	""	""	"90"	""	""	"5"	""	""	""	"7"	""	""	""	""	"9"	""	""	""	"13"	""	""	""	"2"	""	""	""	""	"3"	""	""	"2"	""	""	"8"	""	""	"93"	""	""	"8"	""	""	"5"	""	""	""	""	"93"	""	""	"6"	""	""	""	"1"	""	""	""	"2"	""	""	"1"	""	""	""	"6"	""	""	""	"1"	""	""	"2"	""	""	"5"	""	""	""	"16"	""	""	"3"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"517"	""	""	"0"	""	"517"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"12"	""	""	"2"	""	"17"	""	""	"4"	""	""	""	"93"	""	""	"5"	""	""	""	"15"	""	""	""	""	"25"	""	""	""	"7"	""	""	""	"8"	""	""	""	""	"9"	""	""	"4"	""	""	"9"	""	""	"206"	""	""	"3"	""	""	"4"	""	""	""	""	"27"	""	""	"25"	""	""	""	"10"	""	""	""	"8"	""	""	"5"	""	""	""	"8"	""	""	""	"3"	""	""	"10"	""	""	"9"	""	""	""	"228"	""	""	"10"	""	""	""	"12"	""	""	""	"29"	""	""	""	""	"795"	""	""	"0"	""	"795"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"13"	""	""	"23"	""	"97"	""	""	"7"	""	""	""	"112"	""	""	"11"	""	""	""	"78"	""	""	""	""	"17"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"1"	""	""	"1"	""	""	"6"	""	""	"167"	""	""	"7"	""	""	"8"	""	""	""	""	"6"	""	""	"6"	""	""	""	"2"	""	""	""	"3"	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	"0"	""	""	""	"27"	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"593"	""	""	"0"	""	"593"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"14"	""	""	"2"	""	"20"	""	""	"2"	""	""	""	"170"	""	""	"5"	""	""	""	"10"	""	""	""	""	"9"	""	""	""	"4"	""	""	""	"11"	""	""	""	""	"4"	""	""	"9"	""	""	"5"	""	""	"119"	""	""	"4"	""	""	"9"	""	""	""	""	"32"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	"1"	""	""	""	"11"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"433"	""	""	"0"	""	"433"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"FORM - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"[See rule 56(7)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"(To be used for recording the result of voting at polling stations other than notified polling stations)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Election to the Legislative assembly from the 141-BARARI constituency.                                      Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"(To be used both for Parliamentary and Assembly elections                                                Total No. of Electors in Assembly constituency/Segment ............................. Name of the Assembly segment(in the case of election from a parliamentary constituency) ............................."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Serial No. of Polling Station"	""	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	"TOTAL"	""	"No. of tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""
"290"	""	""	"ABDUL HAMID"	""	""	"MANSOOR ALAM"	""	""	"MUHAMMAD SAKUR"	""	""	""	""	"VIBHASH CHAND CHOUDHARY"	""	""	"SITARA PARVIN"	""	""	""	""	"DINA YADAV"	""	""	""	""	"PABHAT KUMAR"	""	""	""	"PRAKASH GUPTA"	""	""	""	""	"PREMNATH JAISWAL"	""	""	""	"MOHAMMAD ISRAIL"	""	""	"VIMAL KUMAR MANDAL"	""	""	""	"SHAMBHU MAHALDAR"	""	""	""	"SAYOGITA SINGH"	""	""	"SURYANARAYAN SINGH"	""	""	""	""	"ARVIND KUMAR SINGH"	""	""	"KALYAN MITRA"	""	""	""	""	"KAILASH PODDAR"	""	""	""	"CHANDRA SHEKHAR YADAV"	""	""	""	"TANWEER"	""	""	""	"NIRAJ KUMAR KASHYAP"	""	""	""	"PARSHURAM PASWAN"	""	""	""	"YAMUNA PRASAD YADAV"	""	""	""	""	"RAJESHWAR CHOUDHARY"	""	"SAVIRURAHAMAN KHAN"	""	""	""	""	"SHIV PUJAN PASWAN"	""	""	""	"SANJAY SINGH"	""	""	""	""	"SAMSAD"	""	""	""	"SUBODH VYAS"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"15"	""	"9"	""	""	"23"	""	""	"7"	""	""	""	""	"192"	""	""	"9"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"4"	""	""	"6"	""	""	""	"8"	""	""	""	"130"	""	""	"6"	""	""	""	""	"4"	""	""	"19"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	"7"	""	""	""	"9"	""	""	""	"2"	""	""	""	""	"1"	""	"2"	""	""	""	""	"21"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"7"	""	""	""	"508"	""	""	""	""	"0"	""	""	"508"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"16"	""	"12"	""	""	"7"	""	""	"3"	""	""	""	""	"58"	""	""	"5"	""	""	""	""	"17"	""	""	""	""	"12"	""	""	""	"9"	""	""	""	""	"3"	""	""	""	"5"	""	""	"10"	""	""	""	"13"	""	""	""	"236"	""	""	"9"	""	""	""	""	"6"	""	""	"22"	""	""	""	""	"9"	""	""	""	"7"	""	""	""	"6"	""	""	""	"3"	""	""	""	"15"	""	""	""	"7"	""	""	""	""	"6"	""	"3"	""	""	""	""	"120"	""	""	""	"8"	""	""	""	""	"7"	""	""	""	"16"	""	""	""	"634"	""	""	""	""	"0"	""	""	"634"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"17"	""	"20"	""	""	"29"	""	""	"19"	""	""	""	""	"36"	""	""	"3"	""	""	""	""	"13"	""	""	""	""	"30"	""	""	""	"8"	""	""	""	""	"2"	""	""	""	"6"	""	""	"8"	""	""	""	"17"	""	""	""	"287"	""	""	"10"	""	""	""	""	"6"	""	""	"21"	""	""	""	""	"11"	""	""	""	"6"	""	""	""	"5"	""	""	""	"3"	""	""	""	"7"	""	""	""	"2"	""	""	""	""	"2"	""	"4"	""	""	""	""	"71"	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"21"	""	""	""	"657"	""	""	""	""	"0"	""	""	"657"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"18"	""	"12"	""	""	"56"	""	""	"3"	""	""	""	""	"108"	""	""	"8"	""	""	""	""	"7"	""	""	""	""	"42"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	"7"	""	""	"7"	""	""	""	"17"	""	""	""	"325"	""	""	"19"	""	""	""	""	"8"	""	""	"33"	""	""	""	""	"4"	""	""	""	"6"	""	""	""	"3"	""	""	""	"1"	""	""	""	"6"	""	""	""	"2"	""	""	""	""	"3"	""	"3"	""	""	""	""	"52"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"11"	""	""	""	"760"	""	""	""	""	"0"	""	""	"760"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"19"	""	"24"	""	""	"86"	""	""	"4"	""	""	""	""	"48"	""	""	"11"	""	""	""	""	"108"	""	""	""	""	"37"	""	""	""	"5"	""	""	""	""	"10"	""	""	""	"9"	""	""	"10"	""	""	""	"16"	""	""	""	"233"	""	""	"12"	""	""	""	""	"9"	""	""	"14"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"0"	""	""	""	"7"	""	""	""	"4"	""	""	""	"4"	""	""	""	""	"1"	""	"2"	""	""	""	""	"36"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"706"	""	""	""	""	"0"	""	""	"706"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"20"	""	"12"	""	""	"29"	""	""	"1"	""	""	""	""	"80"	""	""	"4"	""	""	""	""	"30"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	"9"	""	""	""	"5"	""	""	""	"189"	""	""	"78"	""	""	""	""	"31"	""	""	"5"	""	""	""	""	"1"	""	""	""	"9"	""	""	""	"3"	""	""	""	"3"	""	""	""	"9"	""	""	""	"2"	""	""	""	""	"5"	""	"4"	""	""	""	""	"35"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"560"	""	""	""	""	"0"	""	""	"560"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"21"	""	"1"	""	""	"68"	""	""	"2"	""	""	""	""	"97"	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"10"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	"4"	""	""	""	"7"	""	""	""	"242"	""	""	"19"	""	""	""	""	"4"	""	""	"19"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	"5"	""	""	""	"3"	""	""	""	"7"	""	""	""	"4"	""	""	""	""	"2"	""	"6"	""	""	""	""	"67"	""	""	""	"7"	""	""	""	""	"4"	""	""	""	"34"	""	""	""	"634"	""	""	""	""	"0"	""	""	"634"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"22"	""	"12"	""	""	"110"	""	""	"35"	""	""	""	""	"88"	""	""	"8"	""	""	""	""	"15"	""	""	""	""	"9"	""	""	""	"9"	""	""	""	""	"5"	""	""	""	"6"	""	""	"23"	""	""	""	"5"	""	""	""	"136"	""	""	"3"	""	""	""	""	"9"	""	""	"22"	""	""	""	""	"5"	""	""	""	"3"	""	""	""	"1"	""	""	""	"6"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"1"	""	"3"	""	""	""	""	"32"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"7"	""	""	""	"559"	""	""	""	""	"0"	""	""	"559"	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
