"Election.to.the.Bihar.Legislative.Assembly.from.the.232.Gaya.Town.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"
"213"	"130"	""	"203"	""	""	"22"	""	""	""	"26"	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"304"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"304"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"130(Ka)"	""	"184"	""	""	"9"	""	""	""	"33"	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"281"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"281"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"131"	""	"301"	""	""	"23"	""	""	""	"36"	""	""	""	"17"	""	""	""	""	""	"12"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"18"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"62"	""	""	""	""	""	""	""	"36"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"529"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"529"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"132"	""	"233"	""	""	"9"	""	""	""	"23"	""	""	""	"47"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"42"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"133"	""	"289"	""	""	"49"	""	""	""	"43"	""	""	""	"16"	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"77"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"502"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"134"	""	"256"	""	""	"12"	""	""	""	"60"	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	"62"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"461"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"461"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"135"	""	"220"	""	""	"9"	""	""	""	"23"	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"16"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"37"	""	""	""	""	""	""	""	"33"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"358"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"136"	""	"174"	""	""	"2"	""	""	""	"23"	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"258"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"258"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"136(Ka)"	""	"145"	""	""	"9"	""	""	""	"5"	""	""	""	"1"	""	""	""	""	""	"15"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"20"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"85"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"137"	""	"168"	""	""	"22"	""	""	""	"27"	""	""	""	"112"	""	""	""	""	""	"14"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"37"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"138"	""	"276"	""	""	"14"	""	""	""	"7"	""	""	""	"40"	""	""	""	""	""	"13"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"394"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"139"	""	"403"	""	""	"25"	""	""	""	"84"	""	""	""	"10"	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"108"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"661"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"661"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Total"	""	"3450"	""	""	"296"	""	""	""	"518"	""	""	""	"307"	""	""	""	""	""	"77"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	""	"49"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"118"	""	""	""	""	""	"42"	""	""	""	""	""	""	""	""	"526"	""	""	""	""	""	""	""	"357"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"86"	""	""	""	""	""	""	""	"5877"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5877"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Sl. No."	""	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	"Total no."	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""
"227"	"of"	""	"PREM KUMAR"	""	""	"DR. BHIM SINGH YADAV"	""	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	"of votes"	""	""	""	""	"of"	""	""	""	""	""	""	""	""	""	""	""
"228"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	"tendered"	""	""	""	""	""	""	""	""	""	""	""
"229"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"230"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"10"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""
"231"	"140"	""	"171"	""	""	"10"	""	""	""	"187"	""	""	""	"8"	""	""	""	""	""	"4"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"23"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"442"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"141"	""	"103"	""	""	"48"	""	""	""	"160"	""	""	""	"21"	""	""	""	""	""	"12"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"376"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"376"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"142"	""	"48"	""	""	"27"	""	""	""	"271"	""	""	""	"26"	""	""	""	""	""	"19"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"143"	""	"54"	""	""	"27"	""	""	""	"232"	""	""	""	"33"	""	""	""	""	""	"13"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"377"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"377"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"144"	""	"241"	""	""	"33"	""	""	""	"121"	""	""	""	"41"	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"10"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"497"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"497"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"145"	""	"197"	""	""	"17"	""	""	""	"101"	""	""	""	"25"	""	""	""	""	""	"1"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"385"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"146"	""	"227"	""	""	"16"	""	""	""	"66"	""	""	""	"61"	""	""	""	""	""	"13"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"7"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	"70"	""	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	"560"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"560"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"147"	""	"144"	""	""	"34"	""	""	""	"49"	""	""	""	"54"	""	""	""	""	""	"34"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"60"	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"420"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"148"	""	"306"	""	""	"14"	""	""	""	"51"	""	""	""	"86"	""	""	""	""	""	"18"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"36"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	"133"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"670"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"670"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"149"	""	"236"	""	""	"19"	""	""	""	"106"	""	""	""	"49"	""	""	""	""	""	"34"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	"42"	""	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"530"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"530"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"150"	""	"256"	""	""	"47"	""	""	""	"56"	""	""	""	"96"	""	""	""	""	""	"27"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"12"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"48"	""	""	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"572"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"572"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"151"	""	"210"	""	""	"9"	""	""	""	"21"	""	""	""	"9"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"74"	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"353"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"353"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"151(Ka)"	""	"250"	""	""	"23"	""	""	""	"21"	""	""	""	"8"	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"14"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"152"	""	"353"	""	""	"15"	""	""	""	"171"	""	""	""	"86"	""	""	""	""	""	"9"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"10"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"39"	""	""	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"725"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"725"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Total"	""	"2796"	""	""	"339"	""	""	""	"1613"	""	""	""	"603"	""	""	""	""	""	"188"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	""	"67"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	"102"	""	""	""	""	""	"82"	""	""	""	""	""	""	""	""	"572"	""	""	""	""	""	""	""	""	"116"	""	""	""	""	""	""	"57"	""	""	""	""	""	""	""	"96"	""	""	""	""	""	""	"6668"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"6668"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Sl. No."	"Number of Vallid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL"	""	""	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	"Total no. of"	""	""	""	""	""	""	"Total No."	""	""	""	""	""	""	""	""	""	""	""
"247"	"of"	"PREM KUMAR"	""	""	""	"DR. BHIM SINGH YADAV"	""	""	"MASOOD MANJAR"	""	""	""	"LALITA DEVI"	""	""	""	""	""	"MOHAMAD ALHAS AHMAD"	""	""	""	""	""	""	"RAJESH PRASAD YADAV"	""	""	""	""	""	""	""	"RENUKA PALIT"	""	""	""	""	""	""	""	"BINOD KUMAR"	""	""	""	""	""	"SHYAMLAL PRASAD"	""	""	""	""	""	""	"SURESH RIJARA"	""	""	""	""	""	""	""	"AKHAURI ONKARNATH ALIAS MOHAN SRIVASTAVA"	""	""	""	""	""	""	""	"AKHAURI NIRANJAN PRASAD"	""	""	""	""	""	""	"LAKSHMI RAM"	""	""	""	""	""	""	""	"VIJAY KUMAR MITHU"	""	""	""	""	""	""	"No. of"	""	""	""	""	""	""	""	""	"rejected"	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	"of tendered"	""	""	""	""	""	""	""	""	""	""	""
"248"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"valid votes"	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"	""	""	""	""	""	""	""	""	""	""	""
"249"	"Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"1"	"2"	""	""	""	"3"	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"10"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	""	""	""
"251"	"153"	"146"	""	""	""	"9"	""	""	"147"	""	""	""	"128"	""	""	""	""	""	"10"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"82"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"17"	""	""	""	""	""	""	""	"23"	""	""	""	""	""	""	"612"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"612"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"153(Ka)"	"243"	""	""	""	"20"	""	""	"42"	""	""	""	"9"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"90"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"421"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"154"	"213"	""	""	""	"15"	""	""	"200"	""	""	""	"34"	""	""	""	""	""	"13"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"527"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"527"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"155"	"391"	""	""	""	"31"	""	""	"73"	""	""	""	"49"	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	"43"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"629"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"629"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"156"	"78"	""	""	""	"17"	""	""	"185"	""	""	""	"120"	""	""	""	""	""	"8"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"32"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"486"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"486"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
