"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"
"444"	"202"	""	""	""	""	""	"14"	""	"346"	""	"34"	""	"1"	""	"4"	""	"0"	"1"	"0"	"2"	""	"45"	""	"3"	"2"	"4"	""	"2"	""	"5"	""	"2"	"6"	""	"2"	""	"1"	""	"4"	""	"7"	""	"2"	"0"	""	"2"	"3"	"2"	"1"	""	"0"	""	"1"	""	"496"	""	""
"445"	"203"	""	""	""	""	""	"175"	""	"128"	""	"44"	""	"2"	""	"1"	""	"0"	"0"	"3"	"0"	""	"44"	""	"1"	"0"	"1"	""	"4"	""	"5"	""	"1"	"5"	""	"1"	""	"2"	""	"5"	""	"8"	""	"2"	"1"	""	"0"	"1"	"2"	"2"	""	"1"	""	"9"	""	"448"	""	""
"446"	"204"	""	""	""	""	""	"25"	""	"124"	""	"32"	""	"5"	""	"5"	""	"3"	"5"	"1"	"7"	""	"251"	""	"5"	"3"	"3"	""	"11"	""	"12"	""	"5"	"4"	""	"4"	""	"0"	""	"3"	""	"6"	""	"2"	"2"	""	"2"	"4"	"5"	"0"	""	"0"	""	"8"	""	"537"	""	""
"447"	"Round"	""	""	""	""	""	"969"	""	"2232"	""	"974"	""	"84"	""	"41"	""	"25"	"31"	"33"	"71"	""	"1161"	""	"63"	"32"	"37"	""	"220"	""	"85"	""	"41"	"86"	""	"50"	""	"30"	""	"56"	""	"65"	""	"23"	"26"	""	"26"	"24"	"48"	"50"	""	"29"	""	"90"	""	"98414"	""	""
"448"	"205"	""	""	""	""	""	"210"	""	"174"	""	"106"	""	"10"	""	"0"	""	"0"	"1"	"2"	"1"	""	"17"	""	"1"	"2"	"1"	""	"7"	""	"0"	""	"0"	"6"	""	"2"	""	"1"	""	"1"	""	"3"	""	"1"	"6"	""	"0"	"2"	"4"	"4"	""	"0"	""	"8"	""	"570"	""	""
"449"	"Round"	""	""	""	""	""	"210"	""	"174"	""	"106"	""	"10"	""	"0"	""	"0"	"1"	"2"	"1"	""	"17"	""	"1"	"2"	"1"	""	"7"	""	"0"	""	"0"	"6"	""	"2"	""	"1"	""	"1"	""	"3"	""	"1"	"6"	""	"0"	"2"	"4"	"4"	""	"0"	""	"8"	""	"98984"	""	""
"450"	"Total"	""	""	""	""	""	"####"	""	"26251"	""	"20677"	""	"1098"	""	"494"	""	"522"	"317"	"507"	"731"	""	"1734"	""	"4009"	"463"	"620"	""	"9751"	""	"1186"	""	"837"	"1351"	""	"834"	""	"1562"	""	"1177"	""	"2045"	""	"600"	"711"	""	"441"	"703"	"783"	"3402"	""	"525"	""	"1392"	""	"98984"	""	""
"451"	"Postal Ballot"	""	""	""	""	""	"81"	""	"123"	""	"73"	""	"2"	""	"0"	""	"0"	"0"	"0"	"0"	""	"3"	""	"19"	"0"	"0"	""	"38"	""	"0"	""	"1"	"0"	""	"0"	""	"4"	""	"0"	""	"12"	""	"1"	"11"	""	"1"	"2"	"2"	"8"	""	"0"	""	"0"	""	"381"	""	""
"452"	"Grand Total"	""	""	""	""	""	"####"	""	"26374"	""	"20750"	""	"1100"	""	"494"	""	"522"	"317"	"507"	"731"	""	"1737"	""	"4028"	"463"	"620"	""	"9789"	""	"1186"	""	"838"	"1351"	""	"834"	""	"1566"	""	"1177"	""	"2057"	""	"601"	"722"	""	"442"	"705"	"785"	"3410"	""	"525"	""	"1392"	""	"99365"	""	""
"453"	"0"	"625"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"454"	"0"	"654"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"455"	"0"	"650"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"456"	"0"	"495"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"457"	"0"	"366"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"458"	"0"	"438"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"459"	"0"	"650"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"460"	"0"	"496"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"461"	"0"	"448"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"462"	"0"	"537"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"463"	"0"	"98414"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"464"	"0"	"570"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"465"	"0"	"98984"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"466"	"0"	"98984"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"467"	"9"	"390"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"468"	"0"	"99374"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
