"ELECTION.TO.THE.HOUSE.OF.THE.PEOPLE.FROM.THE.33..BUXAR.CONSTITUENCY.PART.I"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"
"254"	"....    .. .:.···....- --····--.... •--·--... ...... ..,,, ,...........QI',,..,.  n,vr,r,u n,..:., 1...:rrn1c::.u111u1                                                                                                                                                                                           Page 2 of 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	".... ·o- -·-.,  ."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"- -o--   -  -J     -"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"y"	""	""	""	""	"nstituency :33·-BUXAR nstituency :200- Buxar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Form-20  (Part-I-A) No of Voters :206973"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"! I
I
ll"	"Candidates Name
·----->
BOOTH N..O
..
\I"	""	""	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Cl)
Cl)
0
>
:2
\"iij
> ..!.
\"iij
-.O._ a_c.u."	""	""	""	""	""	""
"259"	""	""	""	""	"z
:"	"-
3
.::"	""	""	"0
z
<(
z
<(
O ;c
<(  c.,
<c., z
-,-en"	""	""	"z ri:i
:::> ID
:_1,: o:::>
:3 5"	""	""	""	"::c:
c.,
en
_,  <(
:3
:ii: 3:
><(  :c
:c en
en :::>
::.::"	""	""	""	":ii:
o:: -
o :c"	""	""	""	":x:
<(
en
z
<(
:c
0"	""	""	"::r;
C:z>
en
<
:oz >
w  0::
:::>
-, <("	""	""	""	">-
::c:
o O
zw<C
-, Q:::.>.
> :x:
0::
oz"	""	""	""	"ii2
<(
::x::
ii5      0
<(  0
>:cz-
en CD"	""	""	""	"<::c:
-,
0
w
>-
en"	""	""	""	"0
<(
en
Q..
<(
:ii:
<(
0
:::>
en"	""	""	""	"0::
w
0
<(
3:
::c
ewn
0::
:::>
en"	""	""	""	""	">-
::c 0::
<(
en ::x:
w  o
_, :::>
o
<(  ::c
::.:: o"	""	""	""	""	""	""	""	""	""	""
"260"	""	"I"	""	""	"2"	""	""	""	"3"	""	""	"4"	""	""	""	")"	""	""	""	"(>"	""	""	""	"7"	""	""	"lS"	""	""	""	"9"	""	""	""	"JU"	""	""	""	"11"	""	""	""	"l l"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""	""	""
"261"	""	"133"	""	""	"3"	""	""	""	"97"	""	""	"26"	""	""	""	"2"	""	""	""	"5"	""	""	""	"1"	""	""	"1"	""	""	""	"3"	""	""	""	"16"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"160"	""	""	""	""	""	""
"262"	""	"134"	""	""	"3"	""	""	""	"1"	""	""	"260"	""	""	""	"94"	""	""	""	"2"	""	""	""	"2"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"371"	""	""	""	""	""	""
"263"	""	"135"	""	""	"27"	""	""	""	"64"	""	""	"130"	""	""	""	"78"	""	""	""	"2"	""	""	""	"1"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"8"	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"319"	""	""	""	""	""	""
"264"	""	"136"	""	""	"4"	""	""	""	"9"	""	""	"111"	""	""	""	"4"	""	""	""	"5"	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"135"	""	""	""	""	""	""
"265"	""	"137"	""	""	"3"	""	""	""	"6"	""	""	"190"	""	""	""	"26"	""	""	""	"3"	""	""	""	"4"	""	""	"3"	""	""	""	"17"	""	""	""	"104"	""	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"363"	""	""	""	""	""	""
"266"	""	"138"	""	""	"13"	""	""	""	"89"	""	""	"95"	""	""	""	"162"	""	""	""	"3"	""	""	""	"11"	""	""	"1"	""	""	""	"2"	""	""	""	"83"	""	""	""	"4"	""	""	""	"43"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"507"	""	""	""	""	""	""
"267"	""	"139"	""	""	"7"	""	""	""	"67"	""	""	"f\" •"	""	""	"8"	"26"	""	""	""	"1"	""	""	""	"1"	""	""	"16"	""	""	""	"3"	""	""	""	"123"	""	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"257"	""	""	""	""	""	""
"268"	""	"140"	""	""	"23"	""	""	""	"15"	""	""	"140"	""	""	""	"52"	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"232"	""	""	""	""	""	""
"269"	""	"141"	""	""	"12"	""	""	""	"49"	""	""	"24"	""	""	""	"31"	""	""	""	"19"	""	""	""	"2"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"147"	""	""	""	""	""	""
"270"	""	"142"	""	""	"3"	""	""	""	"59"	""	""	"63"	""	""	""	"4"	""	""	""	"4"	""	""	""	"4"	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"16"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"159"	""	""	""	""	""	""
"271"	""	"143"	""	""	"12"	""	""	""	"106"	""	""	"81"	""	""	""	"179"	""	""	""	"20"	""	""	""	"1"	""	""	"18"	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"424"	""	""	""	""	""	""
"272"	""	"144"	""	""	"5"	""	""	""	"7"	""	""	"7"	""	""	""	"282"	""	""	""	"82"	""	""	""	"4"	""	""	"34"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"426"	""	""	""	""	""	""
"273"	""	"145"	""	""	"0.4"	""	""	""	"288"	""	""	"33"	""	""	""	"132"	""	""	""	"3"	""	""	""	"0"	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"476"	""	""	""	""	""	""
"274"	""	"146"	""	""	"5"	""	""	""	"11"	""	""	"45"	""	""	""	"360"	""	""	""	"1"	""	""	""	"3"	""	""	"55"	""	""	""	"1"	""	""	""	"18"	""	""	""	"3"	""	""	""	"4"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"508"	""	""	""	""	""	""
"275"	""	"147"	""	""	"8"	""	""	""	"42"	""	""	"110"	""	""	""	"198"	""	""	""	"5"	""	""	""	"2"	""	""	"22"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"9"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"400"	""	""	""	""	""	""
"276"	""	"148"	""	""	"7"	""	""	""	"29"	""	""	"29"	""	""	""	"167"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"241"	""	""	""	""	""	""
"277"	""	"149"	""	""	"1"	""	""	""	"33"	""	""	"9"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"45"	""	""	""	""	""	""
"278"	""	"150"	""	""	"3"	""	""	""	"99"	""	""	"36"	""	""	""	"146"	""	""	""	"1"	""	""	""	"0"	""	""	"29"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"322"	""	""	""	""	""	""
"279"	""	"151"	""	""	"5"	""	""	""	"62"	""	""	"19"	""	""	""	"41"	""	""	""	"2"	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"a"	""	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"147"	""	""	""	""	""	""
"280"	""	"152"	""	""	"23"	""	""	""	"11"	""	""	"102"	""	""	""	"106"	""	""	""	"2"	""	""	""	"1"	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"251"	""	""	""	""	""	""
"281"	""	"153"	""	""	"17"	""	""	""	"11"	""	""	"56"	""	""	""	"36"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"122"	""	""	""	""	""	""
"282"	""	"154"	""	""	"6"	""	""	""	"3"	""	""	"10"	""	""	""	"16"	""	""	""	"100"	""	""	""	"2"	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"140"	""	""	""	""	""	""
"283"	""	"155"	""	""	"14"	""	""	""	"25"	""	""	"41"	""	""	""	"308"	""	""	""	"8"	""	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"7"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"409"	""	""	""	""	""	""
"284"	""	"156"	""	""	"9"	""	""	""	"50"	""	""	"48"	""	""	""	"216"	""	""	""	"2"	""	""	""	"2"	""	""	"7"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"15"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"361"	""	""	""	""	""	""
"285"	""	"157"	""	""	"46"	""	""	""	"5"	""	""	"34"	""	""	""	"146"	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"6"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"244"	""	""	""	""	""	""
"286"	""	"158"	""	""	"2"	""	""	""	"177"	""	""	"12"	""	""	""	"50"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"245"	""	""	""	""	""	""
"287"	""	"159"	""	""	"5"	""	""	""	"60"	""	""	"175"	""	""	""	"51"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"295"	""	""	""	""	""	""
"288"	""	"160"	""	""	"4"	""	""	""	"290"	""	""	"13"	""	""	""	"49"	""	""	""	"Q"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"39"	""	""	""	"1"	""	""	""	"26"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"425"	""	""	""	""	""	""
"289"	""	"161"	""	""	"0"	""	""	""	"450"	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"'"	""	"1"	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"454"	""	""	""	""	""	""
"290"	""	"162"	""	""	"10"	""	""	""	"92"	""	""	"46"	""	""	""	"213"	""	""	""	"10"	""	""	""	"0"	""	""	"4"	""	""	""	"0"	""	""	""	"28"	""	""	""	"4"	""	""	""	"43"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"452"	""	""	""	""	""	""
"291"	""	"163"	""	""	"6"	""	""	""	"43"	""	""	"34"	""	""	""	"151"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"243"	""	""	""	""	""	""
"292"	""	"164"	""	""	"15"	""	""	""	"47"	""	""	"138"	""	""	""	"112"	""	""	""	"1"	""	""	""	"3"	""	""	"·-"	""	""	"9"	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"327"	""	""	""	""	""	""
"293"	""	"165"	""	""	"1"	""	""	""	"106"	""	""	"26"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"141"	""	""	""	""	""	""
"294"	""	"166"	""	""	"15"	""	""	""	"94"	""	""	"123"	""	""	""	"177"	""	""	""	"1"	""	""	""	"23"	""	""	"..1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"8"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"447"	""	""	""	""	""	""
"295"	""	"167"	""	""	"10"	""	""	""	"24"	""	""	"41"	""	""	""	"40"	""	""	""	"446"	""	""	""	"17"	""	""	"3"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"588"	""	""	""	""	""	""
"296"	""	"168"	""	""	"..,  10"	""	""	""	"105"	""	""	"16"	""	""	""	"546"	""	""	""	"12"	""	""	""	"5"	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"707"	""	""	""	""	""	""
"297"	""	"169"	""	""	". 7"	""	""	""	"114"	""	""	"13"	""	""	""	"199"	""	""	""	"6"	""	""	""	"12"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"359"	""	""	""	""	""	""
"298"	""	"170"	""	""	"11"	""	""	""	"98"	""	""	"124"	""	""	""	"29"	""	""	""	"1"	""	""	""	"33"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"6"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"305"	""	""	""	""	""	""
"299"	""	"171"	""	""	"26"	""	""	""	"13"	""	""	"85"	""	""	""	"177"	""	""	""	"2"	""	""	""	"0"	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"309"	""	""	""	""	""	""
"300"	""	"172"	""	""	"59"	""	""	""	"26"	""	""	"40"	""	""	""	"66"	""	""	""	"1"	""	""	""	"3"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"197"	""	""	""	""	""	""
"301"	""	"173"	""	""	"18"	""	""	""	"153"	""	""	"54"	""	""	""	"191"	""	""	""	"6"	""	""	""	"2"	""	""	"2"	""	""	""	"7"	""	""	""	"5"	""	""	""	"2"	""	""	""	"4"	""	""	""	"3"	""	""	""	""	"8"	""	""	""	"455"	""	""	""	""	""	""
"302"	""	"174"	""	""	"35"	""	""	""	"84"	""	""	"123"	""	""	""	"42"	""	""	""	"2"	""	""	""	"3"	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"291"	""	""	""	""	""	""
"303"	""	"175"	""	""	"2"	""	""	""	"113"	""	""	"54"	""	""	""	"503"	""	""	""	"6"	""	""	""	"26"	""	""	"3"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"30"	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"744"	""	""	""	""	""	""
"304"	""	"176"	""	""	"7"	""	""	""	"47"	""	""	"190"	""	""	""	"259"	""	""	""	"5"	""	""	""	"13"	""	""	"3"	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	"28"	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"563"	""	""	""	""	""	""
"305"	""	"177"	""	""	"188"	""	""	""	"50"	""	""	"257"	""	""	""	"73"	""	""	""	"4"	""	""	""	"2"	""	""	"1"	""	""	""	"2"	""	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"587"	""	""	""	""	""	""
"306"	""	"178"	""	""	"19"	""	""	""	"32"	""	""	"65"	""	""	""	"301"	""	""	""	"5"	""	""	""	"13"	""	""	"3"	""	""	""	"7"	""	""	""	"1"	""	""	""	"2"	""	""	""	"26"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"476"	""	""	""	""	""	""
"307"	""	"179"	""	""	"21"	""	""	""	"167"	""	""	"172"	""	""	""	"124"	""	""	""	"2"	""	""	""	"3"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"503"	""	""	""	""	""	""
"308"	""	"180"	""	""	"31"	""	""	""	"56"	""	""	"43"	""	""	""	"76"	""	""	""	"2"	""	""	""	"8"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"o."	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"218"	""	""	""	""	""	""
"309"	""	"181"	""	""	"16"	""	""	""	"58"	""	""	"123"	""	""	""	"174"	""	""	""	"1"	""	""	""	"3"	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	"3"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"390"	""	""	""	""	""	""
