"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"203"	"112"	""	""	""	"7"	""	""	""	""	"24"	""	""	""	""	""	""	"254"	""	""	""	""	""	"10"	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"311"	""	""	""	""	""	""	""
"204"	"113"	""	""	""	"22"	""	""	""	""	"22"	""	""	""	""	""	""	"73"	""	""	""	""	""	"n"	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	"209"	""	""	""	""	""	""	""
"205"	"114"	""	""	""	"8"	""	""	""	""	"49"	""	""	""	""	""	""	"146"	""	""	""	""	""	"18"	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"68"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	"302"	""	""	""	""	""	""	""
"206"	"115"	""	""	""	"25"	""	""	""	""	"216"	""	""	""	""	""	""	"83"	""	""	""	""	""	"21"	""	""	""	"17"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"380"	""	""	""	""	""	""	""
"207"	"116"	""	""	""	"14"	""	""	""	""	"55"	""	""	""	""	""	""	"43"	""	""	""	""	""	"13"	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	"140"	""	""	""	""	""	""	""
"208"	"117"	""	""	""	"7"	""	""	""	""	"64"	""	""	""	""	""	""	"20"	""	""	""	""	""	"238"	""	""	""	"27"	""	""	""	""	""	"4"	""	""	""	""	""	"85"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"454"	""	""	""	""	""	""	""
"209"	"118"	""	""	""	"59"	""	""	""	""	"117"	""	""	""	""	""	""	"114"	""	""	""	""	""	"147"	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"457"	""	""	""	""	""	""	""
"210"	"119"	""	""	""	"1"	""	""	""	""	"40"	""	""	""	""	""	""	"47"	""	""	""	""	""	"14"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"109"	""	""	""	""	""	""	""
"211"	"120"	""	""	""	"11"	""	""	""	""	"26"	""	""	""	""	""	""	"57"	""	""	""	""	""	"53"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	"158"	""	""	""	""	""	""	""
"212"	"121"	""	""	""	"1"	""	""	""	""	"33"	""	""	""	""	""	""	"70"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	"117"	""	""	""	""	""	""	""
"213"	"122"	""	""	""	"6"	""	""	""	""	"586"	""	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	"609"	""	""	""	""	""	""	""
"214"	"123"	""	""	""	"2"	""	""	""	""	"41"	""	""	""	""	""	""	"14"	""	""	""	""	""	"1"	""	""	""	"n"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"60"	""	""	""	""	""	""	""
"215"	"124"	""	""	""	"0"	""	""	""	""	"67"	""	""	""	""	""	""	"59"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	"128"	""	""	""	""	""	""	""
"216"	"125"	""	""	""	"6"	""	""	""	""	"133"	""	""	""	""	""	""	"22"	""	""	""	""	""	"21"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"187"	""	""	""	""	""	""	""
"217"	"126"	""	""	""	"3"	""	""	""	""	"160"	""	""	""	""	""	""	"24"	""	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	"194"	""	""	""	""	""	""	""
"218"	"127"	""	""	""	"10"	""	""	""	""	"146"	""	""	""	""	""	""	"52"	""	""	""	""	""	"7"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"227"	""	""	""	""	""	""	""
"219"	"128"	""	""	""	"5"	""	""	""	""	"141"	""	""	""	""	""	""	"13"	""	""	""	""	""	"23"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"187"	""	""	""	""	""	""	""
"220"	"129"	""	""	""	"10"	""	""	""	""	"261"	""	""	""	""	""	""	"26"	""	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"28"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"333"	""	""	""	""	""	""	""
"221"	"130"	""	""	""	"9"	""	""	""	""	"71"	""	""	""	""	""	""	"255"	""	""	""	""	""	"30"	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"15"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	"391"	""	""	""	""	""	""	""
"222"	"131"	""	""	""	"13"	""	""	""	""	"115"	""	""	""	""	""	""	"156"	""	""	""	""	""	"11"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"59"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	"363"	""	""	""	""	""	""	""
"223"	"132"	""	""	""	"3"	""	""	""	""	"90"	""	""	""	""	""	""	"92"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"187"	""	""	""	""	""	""	""
"224"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of Naiional lnfo rmaJics Cen1re,Bihar                                                                                                          Page 2 o/ 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"stltuency :33-BUXAR                                                                                                                   Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"stituency :199---Brahmpur                                                                                                                No of Voters:246568"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Candidates .                                                                       No of valid votes casteIn favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	":c                                     :c                                      <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"0::                                   u,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"---->                                 (!)                                                             (.!)                                                                     :c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"0                                                       C1>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"0                                  z                                 z               ?i:              -,                                            0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	".....                                 en                               en"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"0                              w                           >"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"z                                     :5 i   :e         :c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"0 0         :c                                                                          2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"BOOTH       z          - >-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"z                        <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"z            ll.                                   ::c <(  i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"NO       :s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"<(                   z w                                      (J)                                                                                    iii          0                                                          (/) :c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"0 ::c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"::::e>m:::,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	":e         0:: -        z          o >-          :::,        :e          z                        ::c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"<(                   z 0::"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"S: :c                     s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"W O"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"...I :::,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"a:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"iii t:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"•                         <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"(!)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"....1 0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	":c          W  :::,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"o                   c§         w"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"!                                                                                                                  :::,              :::,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"vI                                                                                                                                                                                                                                                                                                                                                                                      (/)                    (J)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"6     - !:!:."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"!"	""	"-, (/)"	""	""	""	""	":S 6"	""	""	""	""	""	":c :::,
(J)   :¥::"	""	""	""	""	""	""	"o
:::e :c"	""	""	""	"0:e"	""	""	""	""	""	""	""	""	""	""	""	"o z"	""	""	""	""	":c m
u,"	""	""	""	""	""	"(J)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"2"	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	""	". 6"	""	""	""	""	""	""	"7"	""	""	"8"	""	""	""	""	""	"9"	""	""	""	""	"lU"	""	""	""	""	""	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"I                                                                                                                                                                     12          13             14           15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"133                11           163         208            10            0             0             0             0             3             0             0             0             1           396"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"134    13            83         101            11            2             0             1             1             0             0              1             1            1           215"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"135                10             11         112          134            2             5             1             3             0              1             1             2             2           284"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"136               15            14         129          128            3             1             0              1             0             0             2             2            7           302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"137                36           232          .64            91             5             5             7              1             7             5             4             1            4           462"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"138                36           231         192          113            5             4             3             2             3             2             1             2             1           595"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"139                  8           186         11           10             1             0             1             1             0             0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"1          0             3           326"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"140                12             29           91          122             1             0             2             0             0             2             0             0             1           260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"141                  2             61           16             4             0              1             0             0             1             1             1             4            0             91"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"142                12           309           15             6             1              1             3             1             1             4              1             1            4           359"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"143                  8           140          105             3            0             0             0              1            0             0             0             1            0           258"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
