"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"
"262"	"143"	""	""	""	""	"42"	""	""	""	"55"	""	""	""	""	""	""	"134"	""	""	""	""	""	""	"234"	""	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	"22"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"18"	""	""	""	"3"	""	""	"2"	""	""	""	"520"	""	""	""	""	""	""	""
"263"	"144"	""	""	""	""	"16"	""	""	""	"87"	""	""	""	""	""	""	"20"	""	""	""	""	""	""	"263"	""	""	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"16"	""	""	""	"0"	""	""	"4"	""	""	""	"426"	""	""	""	""	""	""	""
"264"	"145"	""	""	""	""	"85"	""	""	""	"49"	""	""	""	""	""	""	"107"	""	""	""	""	""	""	"222"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"15"	""	""	""	"1"	""	""	"1"	""	""	""	"489"	""	""	""	""	""	""	""
"265"	"146"	""	""	""	""	"2"	""	""	""	"182"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"192"	""	""	""	""	""	""	""
"266"	"147"	""	""	""	""	"12"	""	""	""	"40"	""	""	""	""	""	""	"32"	""	""	""	""	""	""	"227"	""	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	"0"	""	""	"1"	""	""	""	"336"	""	""	""	""	""	""	""
"267"	"148"	""	""	""	""	"13"	""	""	""	"14"	""	""	""	""	""	""	"186"	""	""	""	""	""	""	"65"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"10"	""	""	""	"0"	""	""	"0"	""	""	""	"295"	""	""	""	""	""	""	""
"268"	"149"	""	""	""	""	"5"	""	""	""	"53"	""	""	""	""	""	""	"10"	""	""	""	""	""	""	"8"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"82"	""	""	""	""	""	""	""
"269"	"150"	""	""	""	""	"25"	""	""	""	"45"	""	""	""	""	""	""	"50"	""	""	""	""	""	""	"93"	""	""	""	""	""	"13"	""	""	""	""	"10"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"27"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"3"	""	""	"2"	""	""	""	"272"	""	""	""	""	""	""	""
"270"	"151"	""	""	""	""	"14"	""	""	""	"73"	""	""	""	""	""	""	"105"	""	""	""	""	""	""	"45"	""	""	""	""	""	"5"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	"1"	""	""	""	"251"	""	""	""	""	""	""	""
"271"	"152"	""	""	""	""	"23"	""	""	""	"72"	""	""	""	""	""	""	"40"	""	""	""	""	""	""	"301"	""	""	""	""	""	"9"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"4"	""	""	"8"	""	""	""	"4n"	""	""	""	""	""	""	""
"272"	"153"	""	""	""	""	"4"	""	""	""	"64"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"205"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"293"	""	""	""	""	""	""	""
"273"	"154"	""	""	""	""	"3"	""	""	""	"46"	""	""	""	""	""	""	"53"	""	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"17"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"124"	""	""	""	""	""	""	""
"274"	"155"	""	""	""	""	"11"	""	""	""	"10"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"24"	""	""	""	""	""	"193"	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"1"	""	""	"3"	""	""	""	"272"	""	""	""	""	""	""	""
"275"	"156"	""	""	""	""	"7"	""	""	""	"10"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"17"	""	""	""	""	""	"154"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"10"	""	""	""	"1"	""	""	"0"	""	""	""	"219"	""	""	""	""	""	""	""
"276"	"157"	""	""	""	""	"10"	""	""	""	"67"	""	""	""	""	""	""	"51"	""	""	""	""	""	""	"391"	""	""	""	""	""	"8"	""	""	""	""	"11"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	"1"	""	""	""	"553"	""	""	""	""	""	""	""
"277"	"158"	""	""	""	""	"0"	""	""	""	"212"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"6"	""	""	""	""	""	"100"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"328"	""	""	""	""	""	""	""
"278"	"159"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	""	""	""	"29"	""	""	""	""	""	""	"167"	""	""	""	""	""	"39"	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"13"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"264"	""	""	""	""	""	""	""
"279"	"160"	""	""	""	""	"31"	""	""	""	"114"	""	""	""	""	""	""	"154"	""	""	""	""	""	""	"148"	""	""	""	""	""	"57"	""	""	""	""	"12"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"34"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	"2"	""	""	""	"556"	""	""	""	""	""	""	""
"280"	"161"	""	""	""	""	"13"	""	""	""	"50"	""	""	""	""	""	""	"30"	""	""	""	""	""	""	"122"	""	""	""	""	""	"1"	""	""	""	""	"9"	""	""	""	""	"151·"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"382"	""	""	""	""	""	""	""
"281"	"162"	""	""	""	""	"8"	""	""	""	"24"	""	""	""	""	""	""	"63"	""	""	""	""	""	""	"141"	""	""	""	""	""	"1"	""	""	""	""	"48"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"10"	""	""	""	"0"	""	""	"1"	""	""	""	"301"	""	""	""	""	""	""	""
"282"	"163"	""	""	""	""	"42"	""	""	""	"83"	""	""	""	""	""	""	"77"	""	""	""	""	""	""	"232"	""	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"19"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"1"	""	""	"0"	""	""	""	"475"	""	""	""	""	""	""	""
"283"	"164"	""	""	""	""	"12"	""	""	""	"310"	""	""	""	""	""	""	"189"	""	""	""	""	""	""	"260"	""	""	""	""	""	"23"	""	""	""	""	"12"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	"2"	""	""	"1"	""	""	""	"822"	""	""	""	""	""	""	""
"284"	"165"	""	""	""	""	"13"	""	""	""	"440"	""	""	""	""	""	""	"169"	""	""	""	""	""	""	"47"	""	""	""	""	""	"72"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	"0"	""	""	""	"748"	""	""	""	""	""	""	""
"285"	"166"	""	""	""	""	"1"	""	""	""	"32"	""	""	""	""	""	""	"51"	""	""	""	""	""	""	"270"	""	""	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"0"	""	""	"1"	""	""	""	"370"	""	""	""	""	""	""	""
"286"	"167"	""	""	""	""	"3"	""	""	""	"210"	""	""	""	""	""	""	"86"	""	""	""	""	""	""	"19"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"319"	""	""	""	""	""	""	""
"287"	"168"	""	""	""	""	"3"	""	""	""	"26"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	"104"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"158"	""	""	""	""	""	""	""
"288"	"169"	""	""	""	""	"8"	""	""	""	"27"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"273"	""	""	""	""	""	"70"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"30"	""	""	""	"6"	""	""	"8"	""	""	""	"446"	""	""	""	""	""	""	""
"289"	"170"	""	""	""	""	"7"	""	""	""	"37"	""	""	""	""	""	""	"77"	""	""	""	""	""	""	"63"	""	""	""	""	""	"63"	""	""	""	""	"10"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"50"	""	""	""	"0"	""	""	"1"	""	""	""	"310"	""	""	""	""	""	""	""
"290"	"171"	""	""	""	""	"29"	""	""	""	"30"	""	""	""	""	""	""	"155"	""	""	""	""	""	""	"221"	""	""	""	""	""	"3"	""	""	""	""	"36"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"2"	""	""	"0"	""	""	""	"494"	""	""	""	""	""	""	""
"291"	"172"	""	""	""	""	"14"	""	""	""	"58"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"16"	""	""	""	""	""	"95"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"193"	""	""	""	""	""	""	""
"292"	"173"	""	""	""	""	"9"	""	""	""	"105"	""	""	""	""	""	""	"27"	""	""	""	""	""	""	"208"	""	""	""	""	""	"24"	""	""	""	""	"21"	""	""	""	""	"30"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"2"	""	""	"4"	""	""	""	"441"	""	""	""	""	""	""	""
"293"	"174"	""	""	""	""	"8"	""	""	""	"2"	""	""	""	""	""	""	"74"	""	""	""	""	""	""	"338"	""	""	""	""	""	"30"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"457"	""	""	""	""	""	""	""
"294"	"175"	""	""	""	""	"16"	""	""	""	"29"	""	""	""	""	""	""	"100"	""	""	""	""	""	""	"224"	""	""	""	""	""	"3"	""	""	""	""	"16"	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	""	"41"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"2"	""	""	"4"	""	""	""	"451"	""	""	""	""	""	""	""
"295"	"176"	""	""	""	""	"12"	""	""	""	"11"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	"189"	""	""	""	""	""	"45"	""	""	""	""	"10"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"1"	""	""	""	"297"	""	""	""	""	""	""	""
"296"	"177"	""	""	""	""	"89"	""	""	""	"4"	""	""	""	""	""	""	"72"	""	""	""	""	""	""	"173"	""	""	""	""	""	"4"	""	""	""	""	"14"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"356"	""	""	""	""	""	""	""
"297"	"178"	""	""	""	""	"7"	""	""	""	"20"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	"272"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	""	"3"	""	""	""	""	"24"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	"3"	""	""	""	"379"	""	""	""	""	""	""	""
"298"	"179"	""	""	""	""	"9"	""	""	""	"23"	""	""	""	""	""	""	"27"	""	""	""	""	""	""	"127"	""	""	""	""	""	"39"	""	""	""	""	"17"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	"0"	""	""	""	"246"	""	""	""	""	""	""	""
"299"	"180"	""	""	""	""	"6"	""	""	""	"9"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"40"	""	""	""	""	""	"218"	""	""	""	""	"11"	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"4"	""	""	"2"	""	""	""	"307"	""	""	""	""	""	""	""
"300"	"181"	""	""	""	""	"31"	""	""	""	"115"	""	""	""	""	""	""	"124"	""	""	""	""	""	""	"141"	""	""	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	"2"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"3"	""	""	"8"	""	""	""	"446"	""	""	""	""	""	""	""
"301"	"182"	""	""	""	""	"8"	""	""	""	"60"	""	""	""	""	""	""	"193"	""	""	""	""	""	""	"12"	""	""	""	""	""	"0"	""	""	""	""	"55"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	"7"	""	""	""	"346"	""	""	""	""	""	""	""
"302"	"183"	""	""	""	""	"5"	""	""	""	"88"	""	""	""	""	""	""	"97"	""	""	""	""	""	""	"38"	""	""	""	""	""	"1"	""	""	""	""	"17"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"1"	""	""	"2"	""	""	""	"256"	""	""	""	""	""	""	""
"303"	"184"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	""	""	""	"55"	""	""	""	""	""	""	"421"	""	""	""	""	""	"27"	""	""	""	""	"57"	""	""	""	""	"12"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	"2"	""	""	"1"	""	""	""	"603"	""	""	""	""	""	""	""
"304"	"185"	""	""	""	""	"0"	""	""	""	"132"	""	""	""	""	""	""	"73"	""	""	""	""	""	""	"101"	""	""	""	""	""	"2"	""	""	""	""	"11"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"324"	""	""	""	""	""	""	""
"305"	"186"	""	""	""	""	"4"	""	""	""	"20"	""	""	""	""	""	""	"125"	""	""	""	""	""	""	"322"	""	""	""	""	""	"1"	""	""	""	""	"10"	""	""	""	""	"14"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"14"	""	""	""	"0"	""	""	"2"	""	""	""	"517"	""	""	""	""	""	""	""
"306"	"187"	""	""	""	""	"63"	""	""	""	"34"	""	""	""	""	""	""	"80"	""	""	""	""	""	""	"107"	""	""	""	""	""	"0"	""	""	""	""	"15"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"304"	""	""	""	""	""	""	""
"307"	"188"	""	""	""	""	"13"	""	""	""	"123"	""	""	""	""	""	""	"98"	""	""	""	""	""	""	"115"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"35"	""	""	""	""	"2"	""	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"3"	""	""	"3"	""	""	""	"414"	""	""	""	""	""	""	""
"308"	"189"	""	""	""	""	"12"	""	""	""	"143"	""	""	""	""	""	""	"67"	""	""	""	""	""	""	"311"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"2"	""	""	"3"	""	""	""	"562"	""	""	""	""	""	""	""
"309"	"190"	""	""	""	""	"16"	""	""	""	"23"	""	""	""	""	""	""	"103"	""	""	""	""	""	""	"199"	""	""	""	""	""	"3"	""	""	""	""	"15"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"1"	""	""	"5"	""	""	""	"373"	""	""	""	""	""	""	""
"310"	"191"	""	""	""	""	"7"	""	""	""	"41"	""	""	""	""	""	""	"53"	""	""	""	""	""	""	"36"	""	""	""	""	""	"9"	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	"16"	""	""	""	""	"241"	""	""	""	""	"14"	""	""	""	""	"19"	""	""	""	"3"	""	""	"59"	""	""	""	"507"	""	""	""	""	""	""	""
"311"	"192"	""	""	""	""	"78"	""	""	""	"39"	""	""	""	""	""	""	"112"	""	""	""	""	""	""	"187"	""	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	""	"62"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"2"	""	""	"2"	""	""	""	"504"	""	""	""	""	""	""	""
"312"	"193"	""	""	""	""	"3"	""	""	""	"156"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"187"	""	""	""	""	""	"3"	""	""	""	""	"10"	""	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"0"	""	""	"2"	""	""	""	"390"	""	""	""	""	""	""	""
"313"	"194"	""	""	""	""	"15"	""	""	""	"41"	""	""	""	""	""	""	"87"	""	""	""	""	""	""	"343"	""	""	""	""	""	"7"	""	""	""	""	"35"	""	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	"21"	""	""	""	""	"1"	""	""	""	""	"13"	""	""	""	"2"	""	""	"10"	""	""	""	"588"	""	""	""	""	""	""	""
"314"	"195"	""	""	""	""	"38"	""	""	""	"24"	""	""	""	""	""	""	"184"	""	""	""	""	""	""	"46"	""	""	""	""	""	"21"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	"0"	""	""	""	"318"	""	""	""	""	""	""	""
"315"	"196"	""	""	""	""	"5"	""	""	""	"15"	""	""	""	""	""	""	"26"	""	""	""	""	""	""	"136"	""	""	""	""	""	"9"	""	""	""	""	"28"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"4"	""	""	"1"	""	""	""	"228"	""	""	""	""	""	""	""
"316"	"197"	""	""	""	""	"27"	""	""	""	"29"	""	""	""	""	""	""	"69"	""	""	""	""	""	""	"81"	""	""	""	""	""	"3"	""	""	""	""	"76"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	""	""	"290"	""	""	""	""	""	""	""
"317"	"198"	""	""	""	""	"16"	""	""	""	"58"	""	""	""	""	""	""	"96"	""	""	""	""	""	""	"147"	""	""	""	""	""	"119"	""	""	""	""	"11"	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	""	"147"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"3"	""	""	"4"	""	""	""	"613"	""	""	""	""	""	""	""
"318"	"199"	""	""	""	""	"6"	""	""	""	"8"	""	""	""	""	""	""	"7"	""	""	""	""	""	""	"45"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"0"	""	""	"3"	""	""	""	"82"	""	""	""	""	""	""	""
"319"	"200"	""	""	""	""	"4"	""	""	""	"186"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"16"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"198"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	"2"	""	""	""	"424"	""	""	""	""	""	""	""
"320"	"Printed UsingRO/AROCounting Tool Ver. 1.0 of National Jriformatics Centre,Bihar                                                                                                               J>age 3 o/ 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"-.. ........"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"-· ---- -"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"ncy :33-BUXAR                                                                                                   Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"ncy :202-Rajpur (SC)                                                                                                   No of Voters :230773"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Name"	""	""	""	"No of valid votes caste infavour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"-u,
Cl)
c>a<...:.
ca
-O ac.a.
I- -"	""	""	""	""	""	""	""	""	""	""	""	""
"327"	""	""	""	""	"§
<
-' <
::::E :::
i="	""	""	""	"0z-
<
0< c:J,:
-,U)"	""	""	""	""	"-z>w
::::::e:,a:::l::,
-J O
j"	""	""	""	""	""	":c
C)
z
ii>
-J <
:5
::e
(/)
:J: :::::,
(/)"	""	""	""	""	"::e
«z-
o::::E  :J:   0"	""	""	""	""	""	"(/)
z
::e"	""	""	""	""	""	":c
C)
z
ii>
Czl  DC:
W-, :<::::,
::::E"	""	""	""	">< ·
00
zif.
:::::,
> :J:
a: !;;:
oz"	""	""	""	"<ii:
:c
iii
::e
o
:J:
(/)  al"	""	""	""	""	""	"<
-:c,
0
0z
w
>
!;;:
(/)"	""	""	""	""	"Q
<
(/)
a..
<::e
<Cl
:::::,
Cl>"	""	""	""	"«
w
0
;
:J:
(/)
w
DC:
:::::,
(/)"	""	""	""	">DC:
:(/c)<:c
w-Je:::::,
::::E O"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"BOOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"330"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"!"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
