"X...................................................................Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"
"286"	"174"	""	"21"	""	""	""	"73"	""	""	""	"188"	""	""	""	""	"180"	""	""	""	""	"6"	""	""	""	""	"16"	""	""	""	""	""	"61"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"549"	""	""	""	""	""	""	""	""	""
"287"	"175"	""	"50"	""	""	""	"120"	""	""	""	"269"	""	""	""	""	"247"	""	""	""	""	"3"	""	""	""	""	"16"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"14"	""	""	""	"1"	""	""	""	"2"	""	""	""	"728"	""	""	""	""	""	""	""	""	""
"288"	"176"	""	"30"	""	""	""	"183"	""	""	""	"67"	""	""	""	""	"46"	""	""	""	""	"8"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"340"	""	""	""	""	""	""	""	""	""
"289"	"177"	""	"52"	""	""	""	"40"	""	""	""	"25"	""	""	""	""	"22"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"73"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"225"	""	""	""	""	""	""	""	""	""
"290"	"178"	""	"7"	""	""	""	"78"	""	""	""	"119"	""	""	""	""	"175"	""	""	""	""	"3"	""	""	""	""	"15"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"4"	""	""	""	"408"	""	""	""	""	""	""	""	""	""
"291"	"179"	""	"9"	""	""	""	"21"	""	""	""	"174"	""	""	""	""	"162"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"64"	""	""	""	"5"	""	""	""	"10"	""	""	""	"8"	""	""	""	"5"	""	""	""	"469"	""	""	""	""	""	""	""	""	""
"292"	"180"	""	"13"	""	""	""	"145"	""	""	""	"184"	""	""	""	""	"123"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"4"	""	""	""	"2"	""	""	""	"9"	""	""	""	"496"	""	""	""	""	""	""	""	""	""
"293"	"181"	""	"16"	""	""	""	"45"	""	""	""	"37"	""	""	""	""	"141"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"25"	""	""	""	"1"	""	""	""	"0"	""	""	""	"277"	""	""	""	""	""	""	""	""	""
"294"	"182"	""	"10"	""	""	""	"29"	""	""	""	"59"	""	""	""	""	"34"	""	""	""	""	"2"	""	""	""	""	"20"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"158"	""	""	""	""	""	""	""	""	""
"295"	"183"	""	"34"	""	""	""	"6"	""	""	""	"76"	""	""	""	""	"121"	""	""	""	""	"3"	""	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"36"	""	""	""	"2"	""	""	""	"1"	""	""	""	"299"	""	""	""	""	""	""	""	""	""
"296"	"184"	""	"61"	""	""	""	"58"	""	""	""	"61"	""	""	""	""	"211"	""	""	""	""	"3"	""	""	""	""	"12"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"14"	""	""	""	"2"	""	""	""	"4"	""	""	""	"435"	""	""	""	""	""	""	""	""	""
"297"	"185"	""	"4"	""	""	""	"66"	""	""	""	"84"	""	""	""	""	"82"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"241"	""	""	""	""	""	""	""	""	""
"298"	"186"	""	"17"	""	""	""	"52"	""	""	""	"29"	""	""	""	""	"123"	""	""	""	""	"6"	""	""	""	""	"18"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"255"	""	""	""	""	""	""	""	""	""
"299"	"187"	""	"21"	""	""	""	"60"	""	""	""	"70"	""	""	""	""	"248"	""	""	""	""	"3"	""	""	""	""	"16"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"7"	""	""	""	"0"	""	""	""	"7"	""	""	""	"2"	""	""	""	"3"	""	""	""	"439"	""	""	""	""	""	""	""	""	""
"300"	"188"	""	"17"	""	""	""	"17"	""	""	""	"111"	""	""	""	""	"67"	""	""	""	""	"4"	""	""	""	""	"20"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	"248"	""	""	""	""	""	""	""	""	""
"301"	"189"	""	"13"	""	""	""	"116"	""	""	""	"85"	""	""	""	""	"77"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"1"	""	""	""	"304"	""	""	""	""	""	""	""	""	""
"302"	"190"	""	"8"	""	""	""	"20"	""	""	""	"42"	""	""	""	""	"165"	""	""	""	""	"6"	""	""	""	""	"31"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"281"	""	""	""	""	""	""	""	""	""
"303"	"191"	""	"15"	""	""	""	"60"	""	""	""	"28"	""	""	""	""	"51"	""	""	""	""	"5"	""	""	""	""	"27"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"112"	""	""	""	"4"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"310"	""	""	""	""	""	""	""	""	""
"304"	"192"	""	"10"	""	""	""	"107"	""	""	""	"194"	""	""	""	""	"164"	""	""	""	""	"4"	""	""	""	""	"69"	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	"14"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"7"	""	""	""	"579"	""	""	""	""	""	""	""	""	""
"305"	"193"	""	"18"	""	""	""	"245"	""	""	""	"108"	""	""	""	""	"103"	""	""	""	""	"4"	""	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"492"	""	""	""	""	""	""	""	""	""
"306"	"194"	""	"2"	""	""	""	"7"	""	""	""	"20"	""	""	""	""	"82"	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"120"	""	""	""	""	""	""	""	""	""
"307"	"195"	""	"8"	""	""	""	"11"	""	""	""	"84"	""	""	""	""	"122"	""	""	""	""	"10"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"240"	""	""	""	""	""	""	""	""	""
"308"	"196"	""	"1"	""	""	""	"117"	""	""	""	"8"	""	""	""	""	"13"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	"194"	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"5"	""	""	""	"350"	""	""	""	""	""	""	""	""	""
"309"	"197"	""	"7"	""	""	""	"50"	""	""	""	"266"	""	""	""	""	"131"	""	""	""	""	"4"	""	""	""	""	"26"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"487"	""	""	""	""	""	""	""	""	""
"310"	"198"	""	"5"	""	""	""	"159"	""	""	""	"29"	""	""	""	""	"205"	""	""	""	""	"1"	""	""	""	""	"51"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"16"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"472"	""	""	""	""	""	""	""	""	""
"311"	"199"	""	"3"	""	""	""	"12"	""	""	""	"20"	""	""	""	""	"116"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"161"	""	""	""	""	""	""	""	""	""
"312"	"200"	""	"12"	""	""	""	"176"	""	""	""	"117"	""	""	""	""	"222"	""	""	""	""	"10"	""	""	""	""	"7"	""	""	""	""	""	"   4"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"6"	""	""	""	"561"	""	""	""	""	""	""	""	""	""
"313"	"I                 Printed Using RO/ARO Counting Tool Ver. l.O of National Informatics Centre,Bihar                                                                                                                               Page 3 of 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"i                                                                                                                                                                                                f"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"liamentConstituency :33 ·BUXAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"A ssembly Constituency : 203·Ramgarh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"Form-20  (Part-l-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"No (\f Voters :200761"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"Candidates Name
----->
BOOTH NO
I
I
:
\/"	""	""	""	""	""	""	""	""	""	""	"Noof valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"If)
QI
:cEu <(
> ·
cu 1:
.O.... eC:IS.."	""	""	""	""	""	""	""
"320"	""	""	""	""	""	".....     0
z
>-
<(  0.::
...J  <(
::e 3:
j:::"	""	""	"z
<(
z
<(
0 ::c
<(  C)
C> z
-<,(/)"	""	""	""	""	". z >w-
::::::e:,a:::::l,
...J  O
:35"	""	""	""	""	"::c
C)
z
ci5
...J  <(
:3
::e
::c(:::/::,
(/)"	""	""	""	""	"::e
I o.:: -
o::e ::c"	""	""	""	""	"::c
<(
(/)
z
<(
::c
0::e"	""	""	""	""	""	":::c
C)
z
U)
<(
o >- Z  o.:: W :,
-,  <(
::e"	""	""	""	""	""	"?c
0  0
z
:,
5:
o0.::z<("	""	""	""	"ix
<(
::c
iii
::e
::c o
\"'m"	""	""	""	"<(
-::r,:
0
0
z w
>-"	""	""	""	"0
a.
<(
=<=(
0
:::::,
(/)"	""	""	""	"0.::
w
0
<(
3:
:c
(/)
w
0.::
:::::,
(/)"	""	""	""	"::c <(
(/) ::c
w...., :::::,
::e O
5"	""	""	""	""	""	""	""	""	""	""	""
"321"	"I"	""	""	""	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	"9"	""	""	""	"IO"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	"14"	""	""	""	"I '.>"	""	""	""	""	""	""	""
"322"	"201"	""	""	""	""	"25"	""	""	"211"	""	""	""	""	"174"	""	""	""	""	"29"	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"459"	""	""	""	""	""	""	""
"323"	"202"	""	""	""	""	"23"	""	""	"57"	""	""	""	""	"153"	""	""	""	""	"80"	""	""	""	""	"6"	""	""	""	""	"62"	""	""	""	""	""	"11"	""	""	""	""	""	"9"	""	""	""	"34"	""	""	""	"1"	""	""	""	"9"	""	""	""	"1"	""	""	""	"8"	""	""	""	"454"	""	""	""	""	""	""	""
"324"	"203"	""	""	""	""	"8"	""	""	"38"	""	""	""	""	"63"	""	""	""	""	"29"	""	""	""	""	"1"	""	""	""	""	"35"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"180"	""	""	""	""	""	""	""
"325"	"204"	""	""	""	""	"8"	""	""	"12"	""	""	""	""	"35"	""	""	""	""	"389"	""	""	""	""	"17"	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	""	"473"	""	""	""	""	""	""	""
"326"	"205"	""	""	""	""	"47"	""	""	"128"	""	""	""	""	"45"	""	""	""	""	"42"	""	""	""	""	"21"	""	""	""	""	"23"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"308"	""	""	""	""	""	""	""
"327"	"206"	""	""	""	""	"4"	""	""	"112"	""	""	""	""	"20"	""	""	""	""	"31"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"169"	""	""	""	""	""	""	""
"328"	"207"	""	""	""	""	"20"	""	""	"19"	""	""	""	""	"f\"172"	""	""	""	""	"62"	""	""	""	""	"4"	""	""	""	""	"13"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"29"	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"3"	""	""	""	"327"	""	""	""	""	""	""	""
"329"	"208"	""	""	""	""	"2"	""	""	"55"	""	""	""	""	"54"	""	""	""	""	"26"	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	""	"10"	""	""	""	""	""	"13"	""	""	""	"196"	""	""	""	"7"	""	""	""	"0"	""	""	""	"2"	""	""	""	"4"	""	""	""	"378"	""	""	""	""	""	""	""
"330"	"209"	""	""	""	""	"3"	""	""	"74"	""	""	""	""	"180"	""	""	""	""	"266"	""	""	""	""	"8"	""	""	""	""	"45"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"4"	""	""	""	"5"	""	""	""	"586"	""	""	""	""	""	""	""
"331"	"210"	""	""	""	""	"3"	""	""	"1"	""	""	""	""	"149"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"154"	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"320"	""	""	""	""	""	""	""
"332"	"211"	""	""	""	""	". 2"	""	""	"4"	""	""	""	""	"18"	""	""	""	""	"388"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"428"	""	""	""	""	""	""	""
"333"	"212"	""	""	""	""	"6"	""	""	"65"	""	""	""	""	"311"	""	""	""	""	"26"	""	""	""	""	"0"	""	""	""	""	"19"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"9"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"436"	""	""	""	""	""	""	""
"334"	"213"	""	""	""	""	"36"	""	""	"47"	""	""	""	""	"106"	""	""	""	""	"132"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"6"	""	""	""	"0"	""	""	""	"4"	""	""	""	"2"	""	""	""	"2"	""	""	""	"341"	""	""	""	""	""	""	""
"335"	"214"	""	""	""	""	"14"	""	""	"16"	""	""	""	""	"120"	""	""	""	""	"138"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	"42"	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"340"	""	""	""	""	""	""	""
"336"	"215"	""	""	""	""	"5"	""	""	"10"	""	""	""	""	"32"	""	""	""	""	"181"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"240"	""	""	""	""	""	""	""
"337"	"216"	""	""	""	""	"2"	""	""	"4"	""	""	""	""	"38"	""	""	""	""	"22"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"71"	""	""	""	""	""	""	""
"338"	"217"	""	""	""	""	"0"	""	""	"16"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"18"	""	""	""	""	""	""	""
"339"	"218"	""	""	""	""	"11"	""	""	"210"	""	""	""	""	"83"	""	""	""	""	"·133"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"5"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"455"	""	""	""	""	""	""	""
"340"	"Total:"	""	""	""	""	"5298"	""	""	"28553"	""	""	""	""	"15092"	""	""	""	""	"29869"	""	""	""	""	"1138"	""	""	""	""	"2302"	""	""	""	""	""	"712"	""	""	""	""	""	"298"	""	""	""	"3555"	""	""	""	"216"	""	""	""	"974"	""	""	""	"229"	""	""	""	"367"	""	""	""	"88603 I"	""	""	""	""	""	""	""
"341"	"Place:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"Date: 16/05/2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	", Rctu,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"RETfJRNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"ARUr.t .ENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	".>'"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"Printed Using RO/ARO Counting Tool Ver. /.0 of National Informatics Centre,Bihar                                                                                                                       Page 4 o/ 4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 33- BUXAR CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Parliament Constituency :33--BUXAR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Assembly Constituency :203-  Ramgarh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"otes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"«"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"Form-20  (Part-1-B)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"No of Voters :200761"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"fl)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"C1)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"Candidates Name"	""	""	""	"e                                                  
Q   ..-.."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"No of w
z"	""	""	""	""	""	"lid v
z"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"..•••>"	""	""	""	".::: <
I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
