"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"
"300"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"Round  No.14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""
"306"	""	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	""	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	""	"13"	""	""	"14"	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""
"308"	"163"	""	"20"	""	"6"	""	""	"46"	""	""	""	""	"80"	""	""	""	""	""	"451"	""	""	""	""	""	"6"	""	""	""	""	"34"	""	""	""	"2"	""	""	""	"5"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	"5"	""	""	""	"663"	""	""	""	""	""	""	"0"	""	""	""	""	""	"663"	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"164"	""	"161"	""	"16"	""	""	"2"	""	""	""	""	"43"	""	""	""	""	""	"120"	""	""	""	""	""	"4"	""	""	""	""	"24"	""	""	""	"4"	""	""	""	"3"	""	""	""	"9"	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"17"	""	""	""	"410"	""	""	""	""	""	""	"0"	""	""	""	""	""	"410"	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"165"	""	"2"	""	"14"	""	""	"375"	""	""	""	""	"6"	""	""	""	""	""	"20"	""	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"2"	""	""	"4"	""	""	""	"436"	""	""	""	""	""	""	"0"	""	""	""	""	""	"436"	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"165A"	""	"68"	""	"31"	""	""	"223"	""	""	""	""	"17"	""	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"3"	""	""	""	"361"	""	""	""	""	""	""	"0"	""	""	""	""	""	"361"	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"166"	""	"188"	""	"133"	""	""	"128"	""	""	""	""	"28"	""	""	""	""	""	"54"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"4"	""	""	"23"	""	""	""	"576"	""	""	""	""	""	""	"0"	""	""	""	""	""	"576"	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"167"	""	"173"	""	"72"	""	""	"66"	""	""	""	""	"3"	""	""	""	""	""	"119"	""	""	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	""	""	"2"	""	""	"14"	""	""	""	"470"	""	""	""	""	""	""	"0"	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"168"	""	"117"	""	"96"	""	""	"70"	""	""	""	""	"52"	""	""	""	""	""	"73"	""	""	""	""	""	"5"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"5"	""	""	"1"	""	""	""	"432"	""	""	""	""	""	""	"0"	""	""	""	""	""	"432"	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"169"	""	"69"	""	"114"	""	""	"24"	""	""	""	""	"14"	""	""	""	""	""	"171"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"402"	""	""	""	""	""	""	"0"	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"170"	""	"10"	""	"22"	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	"154"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	"200"	""	""	""	""	""	""	"0"	""	""	""	""	""	"200"	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"171"	""	"217"	""	"84"	""	""	"16"	""	""	""	""	"2"	""	""	""	""	""	"56"	""	""	""	""	""	"4"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"15"	""	""	""	"402"	""	""	""	""	""	""	"0"	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"171A"	""	"17"	""	"112"	""	""	"58"	""	""	""	""	"7"	""	""	""	""	""	"133"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"3"	""	""	"6"	""	""	""	"344"	""	""	""	""	""	""	"0"	""	""	""	""	""	"344"	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"172"	""	"24"	""	"24"	""	""	"218"	""	""	""	""	"5"	""	""	""	""	""	"68"	""	""	""	""	""	"9"	""	""	""	""	"5"	""	""	""	"2"	""	""	""	"0"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	"8"	""	""	""	"378"	""	""	""	""	""	""	"0"	""	""	""	""	""	"378"	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"172A"	""	"95"	""	"15"	""	""	"130"	""	""	""	""	"56"	""	""	""	""	""	"72"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"2"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	"4"	""	""	""	"394"	""	""	""	""	""	""	"0"	""	""	""	""	""	"394"	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"173"	""	"14"	""	"6"	""	""	"595"	""	""	""	""	"26"	""	""	""	""	""	"17"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	"3"	""	""	""	"673"	""	""	""	""	""	""	"0"	""	""	""	""	""	"673"	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"Total:-"	""	"1175"	""	"745"	""	""	"1952"	""	""	""	""	"341"	""	""	""	""	""	"1515"	""	""	""	""	""	"56"	""	""	""	""	"79"	""	""	""	"16"	""	""	""	"20"	""	""	""	"46"	""	""	""	""	"28"	""	""	""	""	"38"	""	""	""	""	"25"	""	""	"105"	""	""	""	"-6141"	""	""	""	""	""	""	""	""	""	""	""	""	"-6141"	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"[See  Rule 56 C (2) (C)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"Election to the Bihar Legislative Assembly Election - 2005 Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Round  No.15"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"329"	"Sl. No. of Polling Station"	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	""	"Total"	""	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""	""	""	""
"330"	""	"ABHIMANYU SHARMA"	""	"PRAMOD
SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	"RAM NARESH SINGH"	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	"VINOD RAM"	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	""	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	"14"	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	""	"18"	""	""	""	""	""	""	""	""	""	""	""
"332"	"174"	"41"	""	"164"	""	""	"195"	""	""	""	"60"	""	""	""	""	"141"	""	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	"1"	""	""	""	"3"	""	""	""	"15"	""	""	""	"6"	""	""	""	""	"16"	""	""	""	"10"	""	"25"	""	""	""	""	"688"	""	""	""	""	""	"0"	""	""	""	""	""	""	"688"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"175"	"99"	""	"122"	""	""	"63"	""	""	""	"27"	""	""	""	""	"133"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"2"	""	"10"	""	""	""	""	"471"	""	""	""	""	""	"0"	""	""	""	""	""	""	"471"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	"176"	"110"	""	"52"	""	""	"60"	""	""	""	"18"	""	""	""	""	"276"	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	"4"	""	""	""	"16"	""	""	""	"3"	""	""	""	""	"10"	""	""	""	"3"	""	"27"	""	""	""	""	"592"	""	""	""	""	""	"0"	""	""	""	""	""	""	"592"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"177"	"80"	""	"61"	""	""	"20"	""	""	""	"30"	""	""	""	""	"53"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	"1"	""	""	""	""	"248"	""	""	""	""	""	"0"	""	""	""	""	""	""	"248"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"177A"	"29"	""	"100"	""	""	"107"	""	""	""	"22"	""	""	""	""	"83"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"4"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	"5"	""	""	""	""	"354"	""	""	""	""	""	"0"	""	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"178"	"55"	""	"2"	""	""	"30"	""	""	""	"46"	""	""	""	""	"89"	""	""	""	""	""	"4"	""	""	""	""	"12"	""	""	""	"3"	""	""	""	"0"	""	""	""	"9"	""	""	""	"3"	""	""	""	""	"7"	""	""	""	"1"	""	"15"	""	""	""	""	"276"	""	""	""	""	""	"0"	""	""	""	""	""	""	"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"178A"	"55"	""	"80"	""	""	"79"	""	""	""	"5"	""	""	""	""	"97"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"3"	""	""	""	"4"	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"3"	""	"8"	""	""	""	""	"346"	""	""	""	""	""	"0"	""	""	""	""	""	""	"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"179"	"66"	""	"5"	""	""	"220"	""	""	""	"4"	""	""	""	""	"14"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	"5"	""	""	""	""	"320"	""	""	""	""	""	"0"	""	""	""	""	""	""	"320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"179A"	"53"	""	"23"	""	""	"43"	""	""	""	"6"	""	""	""	""	"361"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"9"	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"0"	""	"2"	""	""	""	""	"508"	""	""	""	""	""	"0"	""	""	""	""	""	""	"508"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"180"	"97"	""	"141"	""	""	"16"	""	""	""	"44"	""	""	""	""	"35"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"3"	""	"6"	""	""	""	""	"357"	""	""	""	""	""	"0"	""	""	""	""	""	""	"357"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"180A"	"138"	""	"68"	""	""	"34"	""	""	""	"5"	""	""	""	""	"133"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"2"	""	""	""	"11"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	"2"	""	"8"	""	""	""	""	"420"	""	""	""	""	""	"0"	""	""	""	""	""	""	"420"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"181"	"117"	""	"17"	""	""	"69"	""	""	""	"36"	""	""	""	""	"283"	""	""	""	""	""	"1"	""	""	""	""	"47"	""	""	""	"0"	""	""	""	"3"	""	""	""	"12"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"1"	""	"8"	""	""	""	""	"601"	""	""	""	""	""	"0"	""	""	""	""	""	""	"601"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"182"	"59"	""	"19"	""	""	"199"	""	""	""	"16"	""	""	""	""	"99"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"1"	""	""	""	"5"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"1"	""	"3"	""	""	""	""	"412"	""	""	""	""	""	"0"	""	""	""	""	""	""	"412"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"182A"	"43"	""	"17"	""	""	"46"	""	""	""	"97"	""	""	""	""	"144"	""	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"0"	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"1"	""	"10"	""	""	""	""	"380"	""	""	""	""	""	"0"	""	""	""	""	""	""	"380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"Total:-"	"1042"	""	"871"	""	""	"1181"	""	""	""	"416"	""	""	""	""	"1941"	""	""	""	""	""	"44"	""	""	""	""	"84"	""	""	""	"20"	""	""	""	"17"	""	""	""	"97"	""	""	""	"37"	""	""	""	""	"60"	""	""	""	"30"	""	"133"	""	""	""	""	"-5973"	""	""	""	""	""	""	""	""	""	""	""	""	"-5973"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"RETURNING OFFICER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"222 OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"Part - 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"No. & Name of the Assembly Constituency- 222-OBRA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Round  No.16"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"Sl. No. of Polling Station"	""	"No. OF VALID VOTES CAST IN FAVOUR OF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No. of Valid Votes"	""	""	""	""	""	"No. of Rejected Votes"	""	""	""	""	""	""	"Total"	""	""	""	""	"No. of Tendered Votes"	""	""	""	""	""	""	""	""
"353"	""	""	"ABHIMANYU SHARMA"	""	"PRAMOD SINGH CHANDRAWAN SHI"	""	""	"RAJARAM SINGH"	""	""	""	""	"RAM NARESH SINGH"	""	""	""	""	"SATYA NARAYAN SINGH"	""	""	""	""	""	"MAINATH SINGH"	""	""	""	""	"RAJIV  RANJAN SINGH"	""	""	""	"DHANANJAY SINGH"	""	""	""	"MADHUSUDAN SHARMA"	""	""	""	"RAGHUWANSH SINGH"	""	""	""	""	"RADHESHYAM RAM"	""	""	""	""	"RAMANUJ PANDEY"	""	""	""	"VINOD RAM"	""	""	"SITARAM PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	""	""	"1"	""	"2"	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	""	"6"	""	""	""	""	"7"	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	""	"11"	""	""	""	""	"12"	""	""	""	"13"	""	""	"14"	""	""	""	""	"15"	""	""	""	""	""	"16"	""	""	""	""	""	""	"17"	""	""	""	""	"18"	""	""	""	""	""	""	""	""
"355"	"183"	""	"57"	""	"10"	""	""	"77"	""	""	""	""	"64"	""	""	""	""	"341"	""	""	""	""	""	"8"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"5"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"0"	""	""	"8"	""	""	""	""	"583"	""	""	""	""	""	"0"	""	""	""	""	""	""	"583"	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"184"	""	"156"	""	"183"	""	""	"27"	""	""	""	""	"53"	""	""	""	""	"50"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"3"	""	""	"9"	""	""	""	""	"490"	""	""	""	""	""	"0"	""	""	""	""	""	""	"490"	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"185"	""	"71"	""	"37"	""	""	"80"	""	""	""	""	"79"	""	""	""	""	"108"	""	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"3"	""	""	""	"8"	""	""	""	""	"7"	""	""	""	""	"7"	""	""	""	"5"	""	""	"15"	""	""	""	""	"426"	""	""	""	""	""	"0"	""	""	""	""	""	""	"426"	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"185A"	""	"12"	""	"22"	""	""	"14"	""	""	""	""	"152"	""	""	""	""	"72"	""	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	"3"	""	""	""	""	"291"	""	""	""	""	""	"0"	""	""	""	""	""	""	"291"	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"186"	""	"47"	""	"194"	""	""	"126"	""	""	""	""	"117"	""	""	""	""	"28"	""	""	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"3"	""	""	""	"5"	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	"4"	""	""	"6"	""	""	""	""	"547"	""	""	""	""	""	"0"	""	""	""	""	""	""	"547"	""	""	""	""	""	""	""	""	""	""	""	""	""
