"X..FORM.20...FINAL.RESULT.SHEET...See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.187.MASAURHI.ASSEMBLY.CONSTITUNECY.ROUND...1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment....................................................................230522"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"
"1"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 187-MASAURHI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Serial no. of polling station"	""	""	""	""	""	""	""	""	""	""	"i"	""	""	"r"	""	""	""	""	""	""	""	""	""	"i
l"	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total"	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""
"517"	"248"	""	""	""	""	""	""	"38"	""	""	"2"	""	""	"64"	"8"	""	""	"179"	""	""	"15"	""	""	"10"	""	""	"12"	"24"	""	""	"352"	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""
"518"	"249"	""	""	""	""	""	""	"5"	""	""	"1"	""	""	"354"	"17"	""	""	"6"	""	""	"2"	""	""	"17"	""	""	"1"	"11"	""	""	"414"	""	""	""	""	""	""	"414"	""	""	""	""	""	""	""	""	""
"519"	"250"	""	""	""	""	""	""	"32"	""	""	"1"	""	""	"362"	"7"	""	""	"51"	""	""	"3"	""	""	"19"	""	""	"0"	"4"	""	""	"479"	""	""	""	""	""	""	"479"	""	""	""	""	""	""	""	""	""
"520"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""
"521"	"Total"	""	""	""	""	""	""	"727"	""	""	"51"	""	""	"2398"	"252"	""	""	"947"	""	""	"82"	""	""	"108"	""	""	"35"	"119"	""	""	"4719"	""	""	""	"0"	""	""	"4719"	""	""	""	"0"	""	""	""	""	""
"522"	"Total upto Round No.18"	""	""	""	""	""	""	"40580"	""	""	"2133"	""	""	"27648"	"6797"	""	""	"14182"	""	""	"1397"	""	""	"1813"	""	""	"681"	"1983"	""	""	"97214"	""	""	""	"0"	""	""	"97214"	""	""	""	"0"	""	""	""	""	""
"523"	"Total No. of votes recorded at Polling Station"	""	""	""	""	""	""	"41307"	""	""	"2184"	""	""	"30046"	"7049"	""	""	"15129"	""	""	"1479"	""	""	"1921"	""	""	"716"	"2102"	""	""	"101933"	""	""	""	"0"	""	""	"101933"	""	""	""	"0"	""	""	""	""	""
"524"	"Total votes Poll"	""	""	""	""	""	""	"41307"	""	""	"2184"	""	""	"30046"	"7049"	""	""	"15129"	""	""	"1479"	""	""	"1921"	""	""	"716"	"2102"	""	""	"101933"	""	""	""	"0"	""	""	"101933"	""	""	""	"0"	""	""	""	""	""
"525"	"Place :-"	""	""	""	"A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"526"	"Date"	""	""	""	"38678"	""	""	""	""	""	""	""	""	""	""	""	"187, Masaurhi Assembly Constituency, Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
