"No..and.Name.of.Assembly.Constituency.36.BANIYAPUR.ROUND.1"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"
"550"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"551"	"151"	""	""	"76"	""	"7"	""	""	""	"23"	""	"14"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"11"	""	""	""	"8"	""	""	"151"	""	""	""	"0"	""	""	""	"151"	""	""	""	""	""	""
"552"	"152"	""	""	"70"	""	"7"	""	""	""	"199"	""	"18"	""	""	""	""	"4"	""	""	""	""	"20"	""	""	""	""	"6"	""	""	""	""	"26"	""	""	""	"16"	""	""	"366"	""	""	""	"0"	""	""	""	"366"	""	""	""	""	""	""
"553"	"153"	""	""	"123"	""	"20"	""	""	""	"138"	""	"73"	""	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"7"	""	""	"379"	""	""	""	"0"	""	""	""	"379"	""	""	""	""	""	""
"554"	"154"	""	""	"263"	""	"17"	""	""	""	"22"	""	"61"	""	""	""	""	"9"	""	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"18"	""	""	"413"	""	""	""	"0"	""	""	""	"413"	""	""	""	""	""	""
"555"	"155"	""	""	"283"	""	"14"	""	""	""	"220"	""	"8"	""	""	""	""	"2"	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	""	"141"	""	""	""	"13"	""	""	"698"	""	""	""	"0"	""	""	""	"698"	""	""	""	""	""	""
"556"	"156"	""	""	"150"	""	"28"	""	""	""	"69"	""	"7"	""	""	""	""	"6"	""	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	"18"	""	""	""	"6"	""	""	"296"	""	""	""	"0"	""	""	""	"296"	""	""	""	""	""	""
"557"	"156A"	""	""	"290"	""	"12"	""	""	""	"36"	""	"0"	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	"45"	""	""	""	"8"	""	""	"400"	""	""	""	"0"	""	""	""	"400"	""	""	""	""	""	""
"558"	"157"	""	""	"65"	""	"1"	""	""	""	"190"	""	"6"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"2"	""	""	"274"	""	""	""	"0"	""	""	""	"274"	""	""	""	""	""	""
"559"	"157A"	""	""	"27"	""	"2"	""	""	""	"247"	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"1"	""	""	"281"	""	""	""	"0"	""	""	""	"281"	""	""	""	""	""	""
"560"	"158"	""	""	"455"	""	"42"	""	""	""	"64"	""	"7"	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	"26"	""	""	""	"19"	""	""	"621"	""	""	""	"0"	""	""	""	"621"	""	""	""	""	""	""
"561"	"159"	""	""	"266"	""	"36"	""	""	""	"19"	""	"4"	""	""	""	""	"4"	""	""	""	""	"7"	""	""	""	""	"12"	""	""	""	""	"113"	""	""	""	"23"	""	""	"484"	""	""	""	"0"	""	""	""	"484"	""	""	""	""	""	""
"562"	"160"	""	""	"298"	""	"29"	""	""	""	"64"	""	"12"	""	""	""	""	"9"	""	""	""	""	"8"	""	""	""	""	"7"	""	""	""	""	"35"	""	""	""	"14"	""	""	"476"	""	""	""	"0"	""	""	""	"476"	""	""	""	""	""	""
"563"	"161"	""	""	"125"	""	"3"	""	""	""	"129"	""	"4"	""	""	""	""	"3"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"13"	""	""	""	"16"	""	""	"300"	""	""	""	"0"	""	""	""	"300"	""	""	""	""	""	""
"564"	"162"	""	""	"267"	""	"29"	""	""	""	"164"	""	"32"	""	""	""	""	"8"	""	""	""	""	"11"	""	""	""	""	"10"	""	""	""	""	"31"	""	""	""	"30"	""	""	"582"	""	""	""	"0"	""	""	""	"582"	""	""	""	""	""	""
"565"	"Total"	""	""	"2758"	""	"247"	""	""	""	"1584"	""	"248"	""	""	""	""	"62"	""	""	""	""	"91"	""	""	""	""	"75"	""	""	""	""	"475"	""	""	""	"181"	""	""	"5721"	""	""	""	"0"	""	""	""	"5721"	""	""	""	""	""	""
"566"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"567"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"568"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"569"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"570"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"571"	"Kishore Kushawah a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"572"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"573"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"574"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"575"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"576"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"577"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"578"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"579"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"580"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"581"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"582"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"583"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"584"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"585"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"586"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"587"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"588"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"589"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"590"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"591"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"592"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"593"	"1                2                3                4                5                6                7                8                9               10              11              12              13              14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"594"	"163"	""	"155"	""	""	"16"	""	""	""	"151"	""	"9"	""	""	""	""	"7"	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	"66"	""	""	""	"6"	""	""	"423"	""	""	""	"0"	""	""	""	"423"	""	""	""	""	""	""
"595"	"164"	""	"58"	""	""	"2"	""	""	""	"212"	""	"5"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"0"	""	""	"287"	""	""	""	"0"	""	""	""	"287"	""	""	""	""	""	""
"596"	"165"	""	"60"	""	""	"16"	""	""	""	"104"	""	"7"	""	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"3"	""	""	""	"9"	""	""	"208"	""	""	""	"0"	""	""	""	"208"	""	""	""	""	""	""
"597"	"166"	""	"115"	""	""	"7"	""	""	""	"224"	""	"15"	""	""	""	""	"5"	""	""	""	""	"19"	""	""	""	""	"12"	""	""	""	""	"26"	""	""	""	"22"	""	""	"445"	""	""	""	"0"	""	""	""	"445"	""	""	""	""	""	""
"598"	"167"	""	"248"	""	""	"22"	""	""	""	"205"	""	"9"	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	"14"	""	""	""	"15"	""	""	"524"	""	""	""	"0"	""	""	""	"524"	""	""	""	""	""	""
"599"	"168"	""	"273"	""	""	"37"	""	""	""	"139"	""	"48"	""	""	""	""	"11"	""	""	""	""	"19"	""	""	""	""	"10"	""	""	""	""	"15"	""	""	""	"52"	""	""	"604"	""	""	""	"0"	""	""	""	"604"	""	""	""	""	""	""
"600"	"169"	""	"99"	""	""	"10"	""	""	""	"211"	""	"10"	""	""	""	""	"6"	""	""	""	""	"12"	""	""	""	""	"15"	""	""	""	""	"13"	""	""	""	"39"	""	""	"415"	""	""	""	"0"	""	""	""	"415"	""	""	""	""	""	""
"601"	"170"	""	"111"	""	""	"58"	""	""	""	"145"	""	"33"	""	""	""	""	"21"	""	""	""	""	"15"	""	""	""	""	"13"	""	""	""	""	"19"	""	""	""	"29"	""	""	"444"	""	""	""	"0"	""	""	""	"444"	""	""	""	""	""	""
"602"	"171"	""	"150"	""	""	"26"	""	""	""	"307"	""	"6"	""	""	""	""	"7"	""	""	""	""	"11"	""	""	""	""	"13"	""	""	""	""	"7"	""	""	""	"24"	""	""	"551"	""	""	""	"0"	""	""	""	"551"	""	""	""	""	""	""
"603"	"172"	""	"222"	""	""	"25"	""	""	""	"177"	""	"15"	""	""	""	""	"11"	""	""	""	""	"15"	""	""	""	""	"6"	""	""	""	""	"10"	""	""	""	"21"	""	""	"502"	""	""	""	"0"	""	""	""	"502"	""	""	""	""	""	""
"604"	"173"	""	"220"	""	""	"87"	""	""	""	"44"	""	"9"	""	""	""	""	"11"	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	""	"8"	""	""	""	"20"	""	""	"416"	""	""	""	"0"	""	""	""	"416"	""	""	""	""	""	""
"605"	"174"	""	"72"	""	""	"93"	""	""	""	"80"	""	"14"	""	""	""	""	"4"	""	""	""	""	"5"	""	""	""	""	"4"	""	""	""	""	"10"	""	""	""	"9"	""	""	"291"	""	""	""	"0"	""	""	""	"291"	""	""	""	""	""	""
"606"	"175"	""	"67"	""	""	"99"	""	""	""	"191"	""	"5"	""	""	""	""	"5"	""	""	""	""	"9"	""	""	""	""	"10"	""	""	""	""	"13"	""	""	""	"11"	""	""	"410"	""	""	""	"0"	""	""	""	"410"	""	""	""	""	""	""
"607"	"176"	""	"132"	""	""	"16"	""	""	""	"229"	""	"14"	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	""	"9"	""	""	""	""	"6"	""	""	""	"14"	""	""	"437"	""	""	""	"0"	""	""	""	"437"	""	""	""	""	""	""
"608"	"Total"	""	"1982"	""	""	"514"	""	""	""	"2419"	""	"199"	""	""	""	""	"107"	""	""	""	""	"138"	""	""	""	""	"116"	""	""	""	""	"211"	""	""	""	"271"	""	""	"5957"	""	""	""	"0"	""	""	""	"5957"	""	""	""	""	""	""
"609"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"610"	"of Polling Station"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"611"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"612"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"613"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"614"	"Kishore Kushawah"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"615"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"616"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"617"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"618"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"619"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"620"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"621"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"622"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"623"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"624"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"625"	"Narayan"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"626"	"Prasad Yadav"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"627"	"Sashi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"628"	"Bhusan Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"629"	"Total of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"630"	"Valid Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"631"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"632"	"rejected Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"633"	"Total"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"634"	"No. of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"635"	"tendered Votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"636"	""	""	""	""	""	"a"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"637"	"1"	""	"2"	""	""	"3"	""	""	""	"4"	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	"8"	""	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	"12"	""	""	""	""	"13"	""	""	"14"	""	""	""	""
"638"	"177"	""	"247"	""	""	"19"	""	""	""	"179"	""	""	""	""	"10"	""	""	""	"12"	""	""	""	""	"11"	""	""	""	""	"11"	""	"10"	""	""	""	""	""	""	"11"	"510"	""	""	""	""	"0"	""	"510"	""	""	""	""	""	""	""
"639"	"178"	""	"204"	""	""	"18"	""	""	""	"88"	""	""	""	""	"22"	""	""	""	"8"	""	""	""	""	"7"	""	""	""	""	"4"	""	"12"	""	""	""	""	""	""	"9"	"372"	""	""	""	""	"0"	""	"372"	""	""	""	""	""	""	""
"640"	"179"	""	"89"	""	""	"107"	""	""	""	"120"	""	""	""	""	"12"	""	""	""	"4"	""	""	""	""	"10"	""	""	""	""	"14"	""	"68"	""	""	""	""	""	""	"15"	"439"	""	""	""	""	"0"	""	"439"	""	""	""	""	""	""	""
"641"	"180"	""	"80"	""	""	"11"	""	""	""	"269"	""	""	""	""	"11"	""	""	""	"5"	""	""	""	""	"22"	""	""	""	""	"9"	""	"10"	""	""	""	""	""	""	"12"	"429"	""	""	""	""	"0"	""	"429"	""	""	""	""	""	""	""
"642"	"181"	""	"129"	""	""	"81"	""	""	""	"98"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	""	"12"	""	""	""	""	"10"	""	"16"	""	""	""	""	""	""	"16"	"372"	""	""	""	""	"0"	""	"372"	""	""	""	""	""	""	""
"643"	"Total"	""	"749"	""	""	"236"	""	""	""	"754"	""	""	""	""	"60"	""	""	""	"34"	""	""	""	""	"62"	""	""	""	""	"48"	""	"116"	""	""	""	""	""	""	"63"	"2122"	""	""	""	""	"0"	""	"2122"	""	""	""	""	""	""	""
"644"	"Serial No."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"645"	"of Round wise"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"646"	"Uma"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"647"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"648"	"Nawal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"649"	"Kishore Kushawah"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"650"	"Manoranj"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"651"	"an Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"652"	"Ram"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"653"	"Bhadur Rai"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"654"	"Umeshwa"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"655"	"r Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"656"	"Om"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"657"	"Prakash Singh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"658"	"Jitendra"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"659"	"Pandey"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
