"ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.192.MANER.ASSEMBLY.CONSTITUNECY.ROUND.15.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"
"355"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	"l no. of polling
station"	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"176"	""	"57"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"116"	""	""	""	"217"	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"13"	""	""	""	""	""	""	"425"	""	""	""	""	""	""	""	""	""	"425"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"358"	"177"	""	"65"	""	""	""	""	"3"	""	""	""	"3"	""	""	""	"66"	""	""	""	"214"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	""	"363"	""	""	""	""	""	""	""	""	""	"363"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"359"	"178"	""	"48"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"86"	""	""	""	"115"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	""	""	"269"	""	""	""	""	""	""	""	""	""	"269"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"179"	""	"23"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"200"	""	""	""	"15"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"243"	""	""	""	""	""	""	""	""	""	"243"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"180"	""	"24"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"28"	""	""	""	"191"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	"251"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"181"	""	"29"	""	""	""	""	"2"	""	""	""	"13"	""	""	""	"170"	""	""	""	"177"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	"6"	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"182"	""	"79"	""	""	""	""	"14"	""	""	""	"9"	""	""	""	"121"	""	""	""	"221"	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"14"	""	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""	""	"470"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"183"	""	"45"	""	""	""	""	"8"	""	""	""	"43"	""	""	""	"78"	""	""	""	"101"	""	""	""	"10"	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	"9"	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"184"	""	"36"	""	""	""	""	"4"	""	""	""	"4"	""	""	""	"40"	""	""	""	"185"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	"8"	""	""	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"185"	""	"23"	""	""	""	""	"1"	""	""	""	"8"	""	""	""	"9"	""	""	""	"342"	""	""	""	"6"	""	""	""	""	"3"	""	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"186"	""	"9"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	"18"	""	""	""	"370"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	"407"	""	""	""	""	""	""	""	""	""	"407"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"187"	""	"33"	""	""	""	""	"6"	""	""	""	"3"	""	""	""	"66"	""	""	""	"118"	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	"8"	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	""	""	"471"	""	""	""	""	"51"	""	""	""	"103"	""	""	""	"998"	""	""	""	"2266"	""	""	""	"54"	""	""	""	""	"22"	""	""	""	""	""	""	"28"	""	""	""	""	"76"	""	""	""	""	""	""	"4069"	""	""	""	""	"0"	""	""	""	""	"4069"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"st round"	""	"-17158"	""	""	""	""	"-967"	""	""	""	"-2353"	""	""	""	"-30205"	""	""	""	"-20963"	""	""	""	"-1325"	""	""	""	""	"-557"	""	""	""	""	""	""	"-526"	""	""	""	""	"-2128"	""	""	""	""	""	""	"-76182"	""	""	""	""	"0"	""	""	""	""	"-76182"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"d Total"	""	"17629"	""	""	""	""	"1018"	""	""	""	"2456"	""	""	""	"31203"	""	""	""	"23229"	""	""	""	"1379"	""	""	""	""	"579"	""	""	""	""	""	""	"554"	""	""	""	""	"2204"	""	""	""	""	""	""	"80251"	""	""	""	""	"0"	""	""	""	""	"80251"	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"e :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"373"	":-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"374"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) al No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"me of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"l no. of polling
station"	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	"Deo Nand
Rai"	""	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"188"	""	"67"	""	""	""	""	"6"	""	""	""	"4"	""	""	""	"196"	""	""	""	"121"	""	""	""	"12"	""	""	""	""	""	"4"	""	""	""	""	""	"3"	""	""	""	""	"9"	""	""	""	""	""	""	"422"	""	""	""	""	""	""	""	""	""	"422"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"189"	""	"7"	""	""	""	""	"12"	""	""	""	"51"	""	""	""	"21"	""	""	""	"272"	""	""	""	"9"	""	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	"6"	""	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"190"	""	"56"	""	""	""	""	"3"	""	""	""	"57"	""	""	""	"125"	""	""	""	"226"	""	""	""	"10"	""	""	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	"11"	""	""	""	""	""	""	"499"	""	""	""	""	""	""	""	""	""	"499"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"191"	""	"13"	""	""	""	""	"1"	""	""	""	"40"	""	""	""	"62"	""	""	""	"262"	""	""	""	"5"	""	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	"7"	""	""	""	""	""	""	"403"	""	""	""	""	""	""	""	""	""	"403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"192"	""	"16"	""	""	""	""	"4"	""	""	""	"11"	""	""	""	"30"	""	""	""	"270"	""	""	""	"8"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	"12"	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	""	""	"356"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"193"	""	"44"	""	""	""	""	"2"	""	""	""	"49"	""	""	""	"82"	""	""	""	"144"	""	""	""	"7"	""	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	"6"	""	""	""	""	""	""	"344"	""	""	""	""	""	""	""	""	""	"344"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"194"	""	"17"	""	""	""	""	"11"	""	""	""	"73"	""	""	""	"64"	""	""	""	"137"	""	""	""	"9"	""	""	""	""	""	"6"	""	""	""	""	""	"8"	""	""	""	""	"22"	""	""	""	""	""	""	"347"	""	""	""	""	""	""	""	""	""	"347"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"195"	""	"38"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"81"	""	""	""	"166"	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	""	""	"299"	""	""	""	""	""	""	""	""	""	"299"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"196"	""	"11"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"40"	""	""	""	"201"	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"264"	""	""	""	""	""	""	""	""	""	"264"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"388"	"197"	""	"48"	""	""	""	""	"1"	""	""	""	"7"	""	""	""	"25"	""	""	""	"212"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	""	""	""	"303"	""	""	""	""	""	""	""	""	""	"303"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"198"	""	"69"	""	""	""	""	"2"	""	""	""	"8"	""	""	""	"71"	""	""	""	"261"	""	""	""	"7"	""	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	"20"	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"390"	"199"	""	"66"	""	""	""	""	"18"	""	""	""	"92"	""	""	""	"35"	""	""	""	"58"	""	""	""	"9"	""	""	""	""	""	"11"	""	""	""	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	""	"300"	""	""	""	""	""	""	""	""	""	"300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	""	""	"452"	""	""	""	""	"62"	""	""	""	"397"	""	""	""	"832"	""	""	""	"2330"	""	""	""	"84"	""	""	""	""	""	"64"	""	""	""	""	""	"45"	""	""	""	""	"109"	""	""	""	""	""	""	"4375"	""	""	""	""	"0"	""	""	""	""	"4375"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"st round"	""	"-17629"	""	""	""	""	"-1018"	""	""	""	"-2456"	""	""	""	"-31203"	""	""	""	"-23229"	""	""	""	"-1379"	""	""	""	""	""	"-579"	""	""	""	""	""	"-554"	""	""	""	""	"-2204"	""	""	""	""	""	""	"-80251"	""	""	""	""	"0"	""	""	""	""	"-80251"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"d Total"	""	"18081"	""	""	""	""	"1080"	""	""	""	"2853"	""	""	""	"32035"	""	""	""	"25559"	""	""	""	"1463"	""	""	""	""	""	"643"	""	""	""	""	""	"599"	""	""	""	""	"2313"	""	""	""	""	""	""	"84626"	""	""	""	""	"0"	""	""	""	""	"84626"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"e :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	":-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) al No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"me of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"l no. of polling
station"	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"401"	"200"	""	"58"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	"88"	""	""	""	"202"	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	""	"6"	""	""	""	""	""	"13"	""	""	""	""	""	"395"	""	""	""	""	""	""	""	""	""	"395"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"402"	"201"	""	"3"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"237"	""	""	""	"25"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"268"	""	""	""	""	""	""	""	""	""	"268"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"202"	""	"59"	""	""	""	""	"0"	""	""	""	"5"	""	""	""	"95"	""	""	""	"248"	""	""	""	"9"	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"6"	""	""	""	""	""	"427"	""	""	""	""	""	""	""	""	""	"427"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"404"	"203"	""	"123"	""	""	""	""	"10"	""	""	""	"6"	""	""	""	"61"	""	""	""	"225"	""	""	""	"10"	""	""	""	""	"7"	""	""	""	""	""	"5"	""	""	""	""	""	"10"	""	""	""	""	""	"457"	""	""	""	""	""	""	""	""	""	"457"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"204"	""	"47"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	"103"	""	""	""	"37"	""	""	""	"9"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"207"	""	""	""	""	""	""	""	""	""	"207"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"406"	"205"	""	"49"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"51"	""	""	""	"74"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"10"	""	""	""	""	""	"201"	""	""	""	""	""	""	""	""	""	"201"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"206"	""	"32"	""	""	""	""	"0"	""	""	""	"9"	""	""	""	"63"	""	""	""	"29"	""	""	""	"5"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	"7"	""	""	""	""	""	"149"	""	""	""	""	""	""	""	""	""	"149"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"207"	""	"36"	""	""	""	""	"0"	""	""	""	"9"	""	""	""	"17"	""	""	""	"277"	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	"354"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"208"	""	"17"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	"109"	""	""	""	"280"	""	""	""	"22"	""	""	""	""	"5"	""	""	""	""	""	"2"	""	""	""	""	""	"7"	""	""	""	""	""	"452"	""	""	""	""	""	""	""	""	""	"452"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"209"	""	"59"	""	""	""	""	"1"	""	""	""	"50"	""	""	""	"224"	""	""	""	"240"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	""	""	""	"9"	""	""	""	""	""	"592"	""	""	""	""	""	""	""	""	""	"592"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"210"	""	"43"	""	""	""	""	"8"	""	""	""	"55"	""	""	""	"115"	""	""	""	"285"	""	""	""	"7"	""	""	""	""	"1"	""	""	""	""	""	"7"	""	""	""	""	""	"15"	""	""	""	""	""	"536"	""	""	""	""	""	""	""	""	""	"536"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"211"	""	"21"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	"51"	""	""	""	"399"	""	""	""	"10"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"9"	""	""	""	""	""	"503"	""	""	""	""	""	""	""	""	""	"503"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	""	""	"547"	""	""	""	""	"37"	""	""	""	"164"	""	""	""	"1214"	""	""	""	"2321"	""	""	""	"97"	""	""	""	""	"27"	""	""	""	""	""	"40"	""	""	""	""	""	"94"	""	""	""	""	""	"4541"	""	""	""	""	"0"	""	""	""	""	"4541"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	"st round"	""	"-18081"	""	""	""	""	"-1080"	""	""	""	"-2853"	""	""	""	"-32035"	""	""	""	"-25559"	""	""	""	"-1463"	""	""	""	""	"-643"	""	""	""	""	""	"-599"	""	""	""	""	""	"-2313"	""	""	""	""	""	"-84626"	""	""	""	""	"0"	""	""	""	""	"-84626"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"d Total"	""	"18628"	""	""	""	""	"1117"	""	""	""	"3017"	""	""	""	"33249"	""	""	""	"27880"	""	""	""	"1560"	""	""	""	""	"670"	""	""	""	""	""	"639"	""	""	""	""	""	"2407"	""	""	""	""	""	"89167"	""	""	""	""	"0"	""	""	""	""	"89167"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	"e :- A. N. College, Patna"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"417"	":-  22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"Signature & Seal"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 192-MANER ASSEMBLY CONSTITUNECY ROUND-15
PART 1
(To be used both for Parliamentary and Assembly elections) al No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"me of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 192-MANER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	"No. of rejected votes"	""	""	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"l no. of polling
station"	""	"Bhai
Birendra"	""	""	""	""	"Raj Kumar"	""	""	""	"Raja Babu"	""	""	""	"Shrikant
Nirala"	""	""	""	"Sacchidanad
Rai"	""	""	""	""	"Deo Nand
Rai"	""	""	""	""	"Pappu
Singh"	""	""	""	""	""	"Balmiki
Singh"	""	""	""	""	""	"Verma
Nand"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"423"	"212"	""	"76"	""	""	""	""	"3"	""	""	""	"18"	""	""	""	"104"	""	""	""	"295"	""	""	""	""	"9"	""	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"14"	""	""	""	""	""	"528"	""	""	""	""	""	""	""	""	""	"528"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"213"	""	"31"	""	""	""	""	"1"	""	""	""	"9"	""	""	""	"143"	""	""	""	"177"	""	""	""	""	"7"	""	""	""	""	"6"	""	""	""	""	""	"4"	""	""	""	""	""	"6"	""	""	""	""	""	"384"	""	""	""	""	""	""	""	""	""	"384"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"425"	"214"	""	"33"	""	""	""	""	"4"	""	""	""	"8"	""	""	""	"71"	""	""	""	"145"	""	""	""	""	"7"	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	""	"11"	""	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	"285"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
