"Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"238"	"95"	""	"7"	""	"259"	""	""	""	"0"	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"279"	""	""	""	""	""	""	"279"	""	""	""	""	""	""	""	""	""	""	""
"239"	"95A"	""	"23"	""	"234"	""	""	""	"0"	""	""	"6"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"267"	""	""	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""
"240"	"96"	""	"57"	""	"95"	""	""	""	"1"	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"158"	""	""	""	""	""	""	"158"	""	""	""	""	""	""	""	""	""	""	""
"241"	"96A"	""	"40"	""	"215"	""	""	""	"1"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"258"	""	""	""	""	""	""	"258"	""	""	""	""	""	""	""	""	""	""	""
"242"	"Total"	""	"618"	""	"3226"	""	""	""	"21"	""	""	"118"	""	""	""	""	""	"15"	""	""	""	""	"61"	""	""	""	"7"	""	""	""	"6"	""	""	""	"9"	""	""	""	""	""	"7"	""	""	""	""	"5"	""	""	"3"	""	""	""	"5"	""	""	""	"21"	""	""	""	"4122"	""	""	""	""	""	""	"4122"	""	""	""	"0"	""	""	""	""	""	""	""
"243"	"Till Last Round"	""	"7689"	""	"30482"	""	""	""	"230"	""	""	"1012"	""	""	""	""	""	"317"	""	""	""	""	"683"	""	""	""	"75"	""	""	""	"53"	""	""	""	"80"	""	""	""	""	""	"135"	""	""	""	""	"57"	""	""	"78"	""	""	""	"104"	""	""	""	"293"	""	""	""	"41288"	""	""	""	"0"	""	""	"41288"	""	""	""	"0"	""	""	""	""	""	""	""
"244"	"Grand Total"	""	"8307"	""	"33708"	""	""	""	"251"	""	""	"1130"	""	""	""	""	""	"332"	""	""	""	""	"744"	""	""	""	"82"	""	""	""	"59"	""	""	""	"89"	""	""	""	""	""	"142"	""	""	""	""	"62"	""	""	"81"	""	""	""	"109"	""	""	""	"314"	""	""	""	"45410"	""	""	""	"0"	""	""	"45410"	""	""	""	"0"	""	""	""	""	""	""	""
"245"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"250"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"97"	""	"17"	""	"244"	""	""	""	"1"	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"2"	""	""	""	"270"	""	""	""	""	""	""	"270"	""	""	""	""	""	""	""	""	""	""	""
"252"	"97A"	""	"19"	""	"232"	""	""	""	"2"	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"260"	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""
"253"	"98"	""	"53"	""	"344"	""	""	""	"5"	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"420"	""	""	""	""	""	""	"420"	""	""	""	""	""	""	""	""	""	""	""
"254"	"99"	""	"22"	""	"231"	""	""	""	"3"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"264"	""	""	""	""	""	""	"264"	""	""	""	""	""	""	""	""	""	""	""
"255"	"99A"	""	"35"	""	"223"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"265"	""	""	""	""	""	""	"265"	""	""	""	""	""	""	""	""	""	""	""
"256"	"100"	""	"13"	""	"345"	""	""	""	"1"	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"369"	""	""	""	""	""	""	"369"	""	""	""	""	""	""	""	""	""	""	""
"257"	"101"	""	"51"	""	"237"	""	""	""	"11"	""	""	"10"	""	""	""	""	""	"17"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"341"	""	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""
"258"	"102"	""	"4"	""	"247"	""	""	""	"0"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"261"	""	""	""	""	""	""	"261"	""	""	""	""	""	""	""	""	""	""	""
"259"	"102A"	""	"9"	""	"177"	""	""	""	"3"	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"199"	""	""	""	""	""	""	"199"	""	""	""	""	""	""	""	""	""	""	""
"260"	"103"	""	"24"	""	"235"	""	""	""	"0"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"268"	""	""	""	""	""	""	"268"	""	""	""	""	""	""	""	""	""	""	""
"261"	"103A"	""	"19"	""	"136"	""	""	""	"12"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	"176"	""	""	""	""	""	""	"176"	""	""	""	""	""	""	""	""	""	""	""
"262"	"104"	""	"22"	""	"257"	""	""	""	"5"	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"293"	""	""	""	""	""	""	"293"	""	""	""	""	""	""	""	""	""	""	""
"263"	"104A"	""	"14"	""	"219"	""	""	""	"2"	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"242"	""	""	""	""	""	""	"242"	""	""	""	""	""	""	""	""	""	""	""
"264"	"105"	""	"17"	""	"281"	""	""	""	"2"	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"1"	""	""	""	"309"	""	""	""	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""
"265"	"Total"	""	"319"	""	"3408"	""	""	""	"47"	""	""	"50"	""	""	""	""	""	"30"	""	""	""	""	"39"	""	""	""	"7"	""	""	""	"4"	""	""	""	"5"	""	""	""	""	""	"9"	""	""	""	""	"2"	""	""	"1"	""	""	""	"5"	""	""	""	"11"	""	""	""	"3937"	""	""	""	""	""	""	"3937"	""	""	""	"0"	""	""	""	""	""	""	""
"266"	"Till Last Round"	""	"8307"	""	"33708"	""	""	""	"251"	""	""	"1130"	""	""	""	""	""	"332"	""	""	""	""	"744"	""	""	""	"82"	""	""	""	"59"	""	""	""	"89"	""	""	""	""	""	"142"	""	""	""	""	"62"	""	""	"81"	""	""	""	"109"	""	""	""	"314"	""	""	""	"45410"	""	""	""	"0"	""	""	"45410"	""	""	""	"0"	""	""	""	""	""	""	""
"267"	"Grand Total"	""	"8626"	""	"37116"	""	""	""	"298"	""	""	"1180"	""	""	""	""	""	"362"	""	""	""	""	"783"	""	""	""	"89"	""	""	""	"63"	""	""	""	"94"	""	""	""	""	""	"151"	""	""	""	""	"64"	""	""	"82"	""	""	""	"114"	""	""	""	"325"	""	""	""	"49347"	""	""	""	"0"	""	""	"49347"	""	""	""	"0"	""	""	""	""	""	""	""
"268"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"273"	"Serial no. of polling station"	""	"Aquil Haider"	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	""	"Amit Kumar Albela"	""	""	"Kapileshwar Lal"	""	""	""	"Sanjay Kumar"	""	""	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"105A"	""	"44"	""	"255"	""	""	""	"5"	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"2"	""	""	""	"312"	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	""	""
"275"	"106"	""	"29"	""	"374"	""	""	""	"1"	""	""	"6"	""	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"420"	""	""	""	""	""	""	"420"	""	""	""	""	""	""	""	""	""	""	""
"276"	"106A"	""	"11"	""	"228"	""	""	""	"2"	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"17"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"268"	""	""	""	""	""	""	"268"	""	""	""	""	""	""	""	""	""	""	""
"277"	"107"	""	"66"	""	"161"	""	""	""	"1"	""	""	"1"	""	""	""	""	""	"4"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"3"	""	""	""	"244"	""	""	""	""	""	""	"244"	""	""	""	""	""	""	""	""	""	""	""
"278"	"107A"	""	"34"	""	"207"	""	""	""	"8"	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	"258"	""	""	""	""	""	""	"258"	""	""	""	""	""	""	""	""	""	""	""
"279"	"108"	""	"15"	""	"286"	""	""	""	"3"	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	"312"	""	""	""	""	""	""	"312"	""	""	""	""	""	""	""	""	""	""	""
"280"	"108A"	""	"26"	""	"227"	""	""	""	"3"	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	"260"	""	""	""	""	""	""	"260"	""	""	""	""	""	""	""	""	""	""	""
"281"	"109"	""	"48"	""	"180"	""	""	""	"15"	""	""	"140"	""	""	""	""	""	"9"	""	""	""	""	"13"	""	""	""	"3"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"7"	""	""	"2"	""	""	""	"6"	""	""	""	"5"	""	""	""	"433"	""	""	""	""	""	""	"433"	""	""	""	""	""	""	""	""	""	""	""
"282"	"110"	""	"29"	""	"276"	""	""	""	"12"	""	""	"10"	""	""	""	""	""	"3"	""	""	""	""	"8"	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"343"	""	""	""	""	""	""	"343"	""	""	""	""	""	""	""	""	""	""	""
"283"	"111"	""	"36"	""	"328"	""	""	""	"8"	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	"1"	""	""	""	"6"	""	""	""	"397"	""	""	""	""	""	""	"397"	""	""	""	""	""	""	""	""	""	""	""
"284"	"111A"	""	"35"	""	"255"	""	""	""	"20"	""	""	"12"	""	""	""	""	""	"3"	""	""	""	""	"13"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	""	"343"	""	""	""	""	""	""	"343"	""	""	""	""	""	""	""	""	""	""	""
"285"	"112"	""	"45"	""	"414"	""	""	""	"0"	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"0"	""	""	""	"2"	""	""	""	"2"	""	""	""	"468"	""	""	""	""	""	""	"468"	""	""	""	""	""	""	""	""	""	""	""
"286"	"113"	""	"70"	""	"243"	""	""	""	"38"	""	""	"11"	""	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	"0"	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	"7"	""	""	""	"3"	""	""	""	"7"	""	""	""	"388"	""	""	""	""	""	""	"388"	""	""	""	""	""	""	""	""	""	""	""
"287"	"113A"	""	"26"	""	"227"	""	""	""	"3"	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	"1"	""	""	""	"264"	""	""	""	""	""	""	"264"	""	""	""	""	""	""	""	""	""	""	""
"288"	"Total"	""	"514"	""	"3661"	""	""	""	"119"	""	""	"204"	""	""	""	""	""	"26"	""	""	""	""	"86"	""	""	""	"9"	""	""	""	"7"	""	""	""	"3"	""	""	""	""	""	"12"	""	""	""	""	"10"	""	""	"13"	""	""	""	"15"	""	""	""	"31"	""	""	""	"4710"	""	""	""	""	""	""	"4710"	""	""	""	"0"	""	""	""	""	""	""	""
"289"	"Till Last Round"	""	"8626"	""	"37116"	""	""	""	"298"	""	""	"1180"	""	""	""	""	""	"362"	""	""	""	""	"783"	""	""	""	"89"	""	""	""	"63"	""	""	""	"94"	""	""	""	""	""	"151"	""	""	""	""	"64"	""	""	"82"	""	""	""	"114"	""	""	""	"325"	""	""	""	"49347"	""	""	""	"0"	""	""	"49347"	""	""	""	"0"	""	""	""	""	""	""	""
"290"	"Grand Total"	""	"9140"	""	"40777"	""	""	""	"417"	""	""	"1384"	""	""	""	""	""	"388"	""	""	""	""	"869"	""	""	""	"98"	""	""	""	"70"	""	""	""	"97"	""	""	""	""	""	"163"	""	""	""	""	"74"	""	""	"95"	""	""	""	"129"	""	""	""	"356"	""	""	""	"54057"	""	""	""	"0"	""	""	"54057"	""	""	""	"0"	""	""	""	""	""	""	""
"291"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 189 PATNA CENTRAL"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	"No. of rejected votes"	""	""	"Total"	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""
"296"	"Serial no. of polling station"	""	"Aquil Haider"	""	""	"Arun Kumar Sinha"	""	""	""	"Tota Chaudhary"	""	""	""	"Mohan Prasad"	""	""	""	""	""	"Ramchandra Prasad Singh"	""	""	""	"Om Prakash Awtar"	""	""	""	"Daya Shankar Tiwary"	""	""	""	"Ram Babu Baitha"	""	""	""	""	"Lal Bahadur SinghPatel"	""	""	""	""	""	"Sidhnah Rai"	""	""	""	"Amit Kumar Albela"	""	""	""	"Kapileshwar Lal"	""	""	"Sanjay Kumar"	""	"Saroj Kant Tripathi"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"114"	""	"34"	""	""	"285"	""	""	""	"16"	""	""	""	"10"	""	""	""	""	""	"0"	""	""	""	"6"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	"2"	""	"4"	""	""	""	"364"	""	""	""	""	""	""	"364"	""	""	""	""	""	""	""	""	""	""	""	""
"298"	"115"	""	"28"	""	""	"397"	""	""	""	"105"	""	""	""	"11"	""	""	""	""	""	"3"	""	""	""	"7"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	"2"	""	"4"	""	""	""	"560"	""	""	""	""	""	""	"560"	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"116"	""	"98"	""	""	"480"	""	""	""	"5"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	"10"	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"0"	""	""	"0"	""	"0"	""	""	""	"602"	""	""	""	""	""	""	"602"	""	""	""	""	""	""	""	""	""	""	""	""
"300"	"117"	""	"68"	""	""	"286"	""	""	""	"10"	""	""	""	"10"	""	""	""	""	""	"10"	""	""	""	"3"	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	"0"	""	""	""	"391"	""	""	""	""	""	""	"391"	""	""	""	""	""	""	""	""	""	""	""	""
"301"	"117A"	""	"42"	""	""	"377"	""	""	""	"4"	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	"11"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"1"	""	""	"3"	""	"2"	""	""	""	"447"	""	""	""	""	""	""	"447"	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"118"	""	"60"	""	""	"437"	""	""	""	"6"	""	""	""	"9"	""	""	""	""	""	"2"	""	""	""	"19"	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	"2"	""	""	"1"	""	"3"	""	""	""	"544"	""	""	""	""	""	""	"544"	""	""	""	""	""	""	""	""	""	""	""	""
"303"	"118A"	""	"13"	""	""	"179"	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	"2"	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	"2"	""	""	""	"205"	""	""	""	""	""	""	"205"	""	""	""	""	""	""	""	""	""	""	""	""
"304"	"119"	""	"111"	""	""	"172"	""	""	""	"4"	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	"1"	""	""	"3"	""	"3"	""	""	""	"311"	""	""	""	""	""	""	"311"	""	""	""	""	""	""	""	""	""	""	""	""
