"Total.No..of.Electors.in.Assembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"
"147"	"14"	""	"93"	""	""	"24"	""	"71"	""	""	""	"256"	""	""	""	"5"	""	""	""	""	"19"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"400"	""	""	""	""	""	""	"0"	""	""	""	""	""	"400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	"Total"	""	""	""	""	"228"	""	"1997"	""	""	""	"735"	""	""	""	"62"	""	""	""	""	"72"	""	""	""	""	""	""	"44"	""	""	""	""	""	""	"819"	""	""	""	""	""	""	""	"39"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"33"	""	""	""	""	""	""	"26"	""	""	""	""	""	""	""	"51"	""	""	""	""	""	"4185"	""	""	""	""	""	""	"0"	""	""	""	""	""	"4185"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	"Election to the Bihar Legislative Assembly from the 238- Atri Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"Round No. …           8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	""	"Total No. of tendere d  votes"	""	""	""	""	""	""	""	""	""	""
"153"	""	""	""	""	""	"AMRENDRA SINGH"	""	""	"KUNTI DEVI"	""	""	"VIRENDRA SINGH"	""	""	""	""	"SURENDRA YADAV"	""	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	""	"RAMCHAND RA MANJHI"	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"1"	""	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""
"155"	"1"	""	"94"	""	""	"2"	""	""	"148"	""	""	"89"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"7"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"9"	""	""	""	""	""	"267"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"267"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"2"	""	"95"	""	""	"8"	""	""	"113"	""	""	"256"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	"403"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"3"	""	"96"	""	""	"7"	""	""	"234"	""	""	"9"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"4"	""	""	""	""	""	"270"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"270"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"158"	"4"	""	"97"	""	""	"7"	""	""	"220"	""	""	"46"	""	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"66"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"16"	""	""	""	""	""	"382"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"159"	"5"	""	"98"	""	""	"5"	""	""	"252"	""	""	"50"	""	""	""	""	"8"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"342"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"342"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"160"	"6"	""	"99"	""	""	"2"	""	""	"208"	""	""	"9"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"25"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"246"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"246"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"161"	"7"	""	"100"	""	""	"16"	""	""	"178"	""	""	"133"	""	""	""	""	"4"	""	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"11"	""	""	""	""	""	"382"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"382"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"162"	"8"	""	"101"	""	""	"11"	""	""	"155"	""	""	"51"	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	"231"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"231"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"9"	""	"102"	""	""	"0"	""	""	"11"	""	""	"340"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"352"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"10"	""	"103"	""	""	"6"	""	""	"12"	""	""	"117"	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"30"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	"7"	""	""	""	""	""	"191"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"191"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"165"	"11"	""	"104"	""	""	"1"	""	""	"1"	""	""	"353"	""	""	""	""	"5"	""	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"4"	""	""	""	""	""	"374"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"374"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"12"	""	"105"	""	""	"0"	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"167"	"13"	""	"106"	""	""	"31"	""	""	"147"	""	""	"15"	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	"97"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"10"	""	""	""	""	""	"363"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"363"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	"14"	""	"107"	""	""	"1"	""	""	"2"	""	""	"331"	""	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	"352"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"352"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Total"	""	""	""	""	"97"	""	""	"1681"	""	""	"1799"	""	""	""	""	"38"	""	""	""	""	""	"38"	""	""	""	""	""	"111"	""	""	""	""	""	""	""	"200"	""	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"17"	""	""	""	""	""	""	"22"	""	""	""	""	""	""	""	"27"	""	""	""	""	""	""	"68"	""	""	""	""	""	"4155"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4155"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"Date   22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"Table No."	""	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	"Total no. of votes"	""	""	""	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	""	""	""	""	""	"AMRENDRA SINGH"	""	"KUNTI DEVI"	""	""	""	"VIRENDRA SINGH"	""	""	""	"SURENDRA YADAV"	""	""	""	""	"TARAKNATH GOSWAMI"	""	""	""	""	""	""	"MD. MOIN AKHTAR"	""	""	""	""	""	""	"RAMASRAY PRA. SINGH"	""	""	""	""	""	""	""	"INDRA DEV NIRALA"	""	""	""	""	""	""	""	"KUMAR GAUTAM"	""	""	""	""	""	""	""	"BAJRANGI SINGH"	""	""	""	""	""	""	"MAHESH KUMAR"	""	""	""	""	""	""	""	"RAJENDRA SINGH"	""	""	""	""	""	""	"RAMCHANDR A MANJHI"	""	""	""	""	""	""	""	"SAHDEV SHARMA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"1"	""	"2"	""	""	"3"	""	"4"	""	""	""	"5"	""	""	""	"6"	""	""	""	""	"7"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"9"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"11"	""	""	""	""	""	""	""	"12"	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	""	"15"	""	""	""	""	""	""	""	"16"	""	""	""	""	""	"17"	""	""	""	""	""	""	"18"	""	""	""	""	""	"19"	""	""	""	""	""	""	""	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"1"	""	"108"	""	""	"7"	""	"4"	""	""	""	"425"	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"450"	""	""	""	""	""	""	"0"	""	""	""	""	""	"450"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"177"	"2"	""	"109"	""	""	"7"	""	"117"	""	""	""	"15"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"21"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"169"	""	""	""	""	""	""	"0"	""	""	""	""	""	"169"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"178"	"3"	""	"110"	""	""	"13"	""	"96"	""	""	""	"79"	""	""	""	"7"	""	""	""	""	"18"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"26"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"269"	""	""	""	""	""	""	"0"	""	""	""	""	""	"269"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"179"	"4"	""	"111"	""	""	"5"	""	"152"	""	""	""	"15"	""	""	""	"3"	""	""	""	""	"3"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"205"	""	""	""	""	""	""	"0"	""	""	""	""	""	"205"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"180"	"5"	""	"112"	""	""	"6"	""	"160"	""	""	""	"10"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"48"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"14"	""	""	""	""	""	"256"	""	""	""	""	""	""	"0"	""	""	""	""	""	"256"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"181"	"6"	""	"113"	""	""	"5"	""	"119"	""	""	""	"33"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"28"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"206"	""	""	""	""	""	""	"0"	""	""	""	""	""	"206"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"7"	""	"114"	""	""	"3"	""	"27"	""	""	""	"107"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"145"	""	""	""	""	""	""	"0"	""	""	""	""	""	"145"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"183"	"8"	""	"115"	""	""	"8"	""	"126"	""	""	""	"11"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	"160"	""	""	""	""	""	""	"0"	""	""	""	""	""	"160"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"184"	"9"	""	"116"	""	""	"0"	""	"12"	""	""	""	"210"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"223"	""	""	""	""	""	""	"0"	""	""	""	""	""	"223"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"185"	"10"	""	"117"	""	""	"18"	""	"99"	""	""	""	"35"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"6"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"10"	""	""	""	""	""	"187"	""	""	""	""	""	""	"0"	""	""	""	""	""	"187"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"11"	""	"118"	""	""	"10"	""	"13"	""	""	""	"70"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"115"	""	""	""	""	""	""	"0"	""	""	""	""	""	"115"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"187"	"12"	""	"119"	""	""	"8"	""	"87"	""	""	""	"232"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"341"	""	""	""	""	""	""	"0"	""	""	""	""	""	"341"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"188"	"13"	""	"120"	""	""	"3"	""	"33"	""	""	""	"229"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"3"	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"275"	""	""	""	""	""	""	"0"	""	""	""	""	""	"275"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
