"X..See.rule.56.C..2...C...ELECTION.TO.THE.HOUSE.OF.THE.LEGISLATOR.FROM.THE.188...PATNA.WEST.ASSEMBLY.CONSTITUNECY.ROUND.1.PART.1..To.be.used.both.for.Parliamentary.and.Assembly.elections..Total.No..of.electors.in.Assembly..Constituency..Segment..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"	"X..78"	"X..79"	"X..80"	"X..81"	"X..82"	"X..83"	"X..84"	"X..85"	"X..86"	"X..87"	"X..88"	"X..89"	"X..90"	"X..91"	"X..92"	"X..93"	"X..94"	"X..95"	"X..96"	"X..97"	"X..98"	"X..99"	"X..100"	"X..101"	"X..102"	"X..103"	"X..104"	"X..105"	"X..106"	"X..107"	"X..108"	"X..109"	"X..110"	"X..111"	"X..112"	"X..113"	"X..114"	"X..115"	"X..116"	"X..117"	"X..118"	"X..119"	"X..120"	"X..121"	"X..122"	"X..123"	"X..124"	"X..125"	"X..126"	"X..127"	"X..128"	"X..129"	"X..130"	"X..131"	"X..132"	"X..133"	"X..134"
"239"	"79A"	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"83"	""	""	""	""	"19"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"105"	""	""	""	""	""	""	""	""	""	""	""	""	""	"105"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"80"	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"310"	""	""	""	""	"69"	""	""	""	""	"13"	""	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"81"	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"375"	""	""	""	""	"37"	""	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"424"	""	""	""	""	""	""	""	""	""	""	""	""	""	"424"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"81A"	""	""	"1"	""	""	""	"2"	""	""	""	""	""	"130"	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"148"	""	""	""	""	""	""	""	""	""	""	""	""	""	"148"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"82"	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"259"	""	""	""	""	"79"	""	""	""	""	"9"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"353"	""	""	""	""	""	""	""	""	""	""	""	""	""	"353"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"83"	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"217"	""	""	""	""	"82"	""	""	""	""	"3"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""	""	"310"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Total"	""	""	"31"	""	""	""	"34"	""	""	""	""	""	"3103"	""	""	""	""	"739"	""	""	""	""	"79"	""	""	""	""	""	"10"	""	""	""	""	""	"3"	""	""	""	""	"12"	""	""	""	""	""	"6"	""	""	""	""	""	"7"	""	""	""	""	""	"16"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	"18"	""	""	""	""	""	"4066"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"4066"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"Till last round"	""	""	"-498"	""	""	""	"-332"	""	""	""	""	""	"-26081"	""	""	""	""	"-7226"	""	""	""	""	"-2981"	""	""	""	""	""	"-169"	""	""	""	""	""	"-126"	""	""	""	""	"-112"	""	""	""	""	""	"-128"	""	""	""	""	""	"-124"	""	""	""	""	""	"-1290"	""	""	""	""	""	""	"-132"	""	""	""	""	""	""	""	"-318"	""	""	""	""	""	"-39517"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"-39517"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Grand Total"	""	""	"529"	""	""	""	"366"	""	""	""	""	""	"29184"	""	""	""	""	"7965"	""	""	""	""	"3060"	""	""	""	""	""	"179"	""	""	""	""	""	"129"	""	""	""	""	"124"	""	""	""	""	""	"134"	""	""	""	""	""	"131"	""	""	""	""	""	"1306"	""	""	""	""	""	""	"140"	""	""	""	""	""	""	""	"336"	""	""	""	""	""	"43583"	""	""	""	""	""	""	"0"	""	""	""	""	""	""	"43583"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"Date:-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"( Signature & Seal)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"188-PW- R-10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 188 - PATNA WEST ASSEMBLY CONSTITUNECY
ROUND-11
PART 1
(To be used both for Parliamentary and Assembly elections)
Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188 PATNA WEST"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	""	""	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	""	""	""	""	""	""	""	""	"No. of rejected votes"	""	""	""	""	""	""	""	"Total"	""	""	""	""	""	""	""	""	"No. of tendered votes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"Serial no. of polling station"	""	""	""	"Anita Kumari"	""	""	""	""	""	"Ashok Kumar
Yadav"	""	""	""	""	""	"Navin Kishor Pd.
Sinha"	""	""	""	""	""	"Rajesh Kumar
Sinha"	""	""	""	""	""	"Satyanand Sharma"	""	""	""	""	""	""	""	""	"Vikash Chandra"	""	""	""	""	""	"Shila Devi"	""	""	""	""	""	"ShriKant Singh"	""	""	""	""	""	""	""	"Santosh Kumar"	""	""	""	"Anil Kumar Sinha"	""	""	""	""	""	""	""	"Kavi Kumar"	""	""	""	""	""	""	""	""	"Baidyanath Prasad"	""	""	""	""	""	""	""	""	""	""	"Suresh Kumar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"83A"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"193"	""	""	""	""	""	"27"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"84"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"200"	""	""	""	""	""	"53"	""	""	""	""	""	"17"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	"85"	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	"203"	""	""	""	""	""	"170"	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	"3"	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	""	""	"8"	""	""	""	""	""	"417"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"417"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"86"	""	""	""	"3"	""	""	""	""	""	"3"	""	""	""	""	""	"389"	""	""	""	""	""	"51"	""	""	""	""	""	"9"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"469"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"469"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"86A"	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	""	"160"	""	""	""	""	""	"32"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"199"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"199"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"87"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"256"	""	""	""	""	""	"37"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"88"	""	""	""	"4"	""	""	""	""	""	"5"	""	""	""	""	""	"364"	""	""	""	""	""	"112"	""	""	""	""	""	"7"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"6"	""	""	""	""	""	""	""	"4"	""	""	""	"3"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	"9"	""	""	""	""	""	"522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"522"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"89"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"247"	""	""	""	""	""	"38"	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"298"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"89A"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"116"	""	""	""	""	""	"50"	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"169"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"169"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"90"	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	""	"349"	""	""	""	""	""	"39"	""	""	""	""	""	"3"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"394"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"90A"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"151"	""	""	""	""	""	"17"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"175"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"175"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"91"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"257"	""	""	""	""	""	"21"	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"91A"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"264"	""	""	""	""	""	"33"	""	""	""	""	""	"4"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"309"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"92"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"308"	""	""	""	""	""	"29"	""	""	""	""	""	"8"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	"1"	""	""	""	""	""	"349"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"349"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"Total"	""	""	""	"21"	""	""	""	""	""	"21"	""	""	""	""	""	"3457"	""	""	""	""	""	"709"	""	""	""	""	""	"78"	""	""	""	""	""	""	""	""	"6"	""	""	""	""	""	"6"	""	""	""	""	""	"10"	""	""	""	""	""	""	""	"17"	""	""	""	"8"	""	""	""	""	""	""	""	"24"	""	""	""	""	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	""	"28"	""	""	""	""	""	"4398"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"4398"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"Till last round"	""	""	""	"-529"	""	""	""	""	""	"-366"	""	""	""	""	""	"-29184"	""	""	""	""	""	"-7965"	""	""	""	""	""	"-3060"	""	""	""	""	""	""	""	""	"-179"	""	""	""	""	""	"-129"	""	""	""	""	""	"-124"	""	""	""	""	""	""	""	"-134"	""	""	""	"-131"	""	""	""	""	""	""	""	"-1306"	""	""	""	""	""	""	""	""	"-140"	""	""	""	""	""	""	""	""	""	""	"-336"	""	""	""	""	""	"-43583"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"-43583"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"Grand Total"	""	""	""	"550"	""	""	""	""	""	"387"	""	""	""	""	""	"32641"	""	""	""	""	""	"8674"	""	""	""	""	""	"3138"	""	""	""	""	""	""	""	""	"185"	""	""	""	""	""	"135"	""	""	""	""	""	"134"	""	""	""	""	""	""	""	"151"	""	""	""	"139"	""	""	""	""	""	""	""	"1330"	""	""	""	""	""	""	""	""	"153"	""	""	""	""	""	""	""	""	""	""	"364"	""	""	""	""	""	"47981"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	"47981"	""	""	""	""	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"Place :-                                                                                                                                                                                                                                                                                                                                             Returning  Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Date"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"188-PW- R-11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"( Signature & Seal)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"FINAL RESULT SHEET
[ See rule 56 C (2) (C)]
ELECTION TO THE HOUSE OF THE LEGISLATOR FROM THE 188 - PATNA WEST ASSEMBLY CONSTITUNECY
ROUND-12
PART 1
(To be used both for Parliamentary and Assembly elections)
Total No. of electors in Assembly  Constituency/ Segment :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 188 PATNA WEST"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
